Entrada,Resultado
2.33,1
1.11,0
4.0,1
1.09,0
1.29,0
4.0,1
4.0,1
4.0,1
1.17,0
3.46,1
1.34,0
1.65,0
2.47,1
1.17,0
2.75,1
2.4,1
4.0,1
1.85,0
1.43,0
2.36,1
1.45,0
1.12,0
3.06,1
3.78,1
1.14,0
4.0,1
1.09,0
2.62,1
1.76,0
2.61,1
4.0,1
1.1,0
1.51,0
4.0,1
1.77,0
1.18,0
1.84,0
4.0,1
4.0,1
3.91,1
1.1,0
1.4,0
4.0,1
1.19,0
2.23,1
3.28,1
1.42,0
3.23,1
1.0,0
4.0,1
4.0,1
2.5,1
1.35,0
1.16,0
4.0,1
2.71,1
1.26,0
1.16,0
4.0,1
4.0,1
1.63,0
1.17,0
4.0,1
4.0,1
1.26,0
1.17,0
1.62,0
1.18,0
4.0,1
2.32,1
3.54,1
1.08,0
1.55,0
4.0,1
4.0,1
1.1,0
1.12,0
4.0,1
1.64,0
1.03,0
1.23,0
1.12,0
3.06,1
1.23,0
3.01,1
1.72,0
1.25,0
1.18,0
4.0,1
2.21,1
1.47,0
3.49,1
4.0,1
3.49,1
1.68,0
4.0,1
4.0,1
4.0,1
2.16,1
1.6,0
1.82,0
4.0,1
2.14,1
4.0,1
1.04,0
1.49,0
2.56,1
1.21,0
2.01,1
1.43,0
1.79,0
2.61,1
1.89,0
1.09,0
4.0,1
4.0,1
3.06,1
1.57,0
1.75,0
1.87,0
1.47,0
3.6,1
2.13,1
4.0,1
2.54,1
4.0,1
1.14,0
3.66,1
1.13,0
1.92,0
2.67,1
4.0,1
1.36,0
1.09,0
1.09,0
1.53,0
4.0,1
4.0,1
1.22,0
4.0,1
1.74,0
1.03,0
1.06,0
1.13,0
4.0,1
1.15,0
3.74,1
1.19,0
1.13,0
2.19,1
1.52,0
2.36,1
1.0,0
4.0,1
1.48,0
1.32,0
4.0,1
1.52,0
1.07,0
4.0,1
1.49,0
1.17,0
4.0,1
1.26,0
1.2,0
2.3,1
1.26,0
4.0,1
3.35,1
1.32,0
1.44,0
1.69,0
1.46,0
1.54,0
2.86,1
1.84,0
4.0,1
2.23,1
1.71,0
2.41,1
4.0,1
4.0,1
4.0,1
1.31,0
1.42,0
2.64,1
4.0,1
1.57,0
1.69,0
1.48,0
2.32,1
1.16,0
4.0,1
4.0,1
1.76,0
4.0,1
4.0,1
3.15,1
4.0,1
4.0,1
1.08,0
1.32,0
1.04,0
2.42,1
1.86,0
1.06,0
4.0,1
2.03,1
4.0,1
4.0,1
1.13,0
1.08,0
4.0,1
1.01,0
4.0,1
1.14,0
4.0,1
1.96,0
1.48,0
1.05,0
1.36,0
1.19,0
1.65,0
1.54,0
3.08,1
3.0,1
4.0,1
1.03,0
1.21,0
1.76,0
1.08,0
4.0,1
3.36,1
1.03,0
4.0,1
1.83,0
1.05,0
1.27,0
4.0,1
4.0,1
1.44,0
1.7,0
1.15,0
4.0,1
1.6,0
1.49,0
2.62,1
1.96,0
1.67,0
4.0,1
4.0,1
4.0,1
1.44,0
2.65,1
1.82,0
4.0,1
1.18,0
1.97,0
1.48,0
1.67,0
3.01,1
3.75,1
1.02,0
4.0,1
4.0,1
4.0,1
1.28,0
4.0,1
3.7,1
4.0,1
1.72,0
4.0,1
3.9,1
1.46,0
1.08,0
4.0,1
1.08,0
2.16,1
4.0,1
1.54,0
1.08,0
4.0,1
4.0,1
1.16,0
4.0,1
1.4,0
1.13,0
1.32,0
1.81,0
1.57,0
1.04,0
1.86,0
2.38,1
3.76,1
1.02,0
2.6,1
3.39,1
4.0,1
4.0,1
3.28,1
1.66,0
3.25,1
4.0,1
4.0,1
2.08,1
1.75,0
1.27,0
1.43,0
3.57,1
3.08,1
4.0,1
1.51,0
4.0,1
1.43,0
4.0,1
4.0,1
4.0,1
1.59,0
4.0,1
4.0,1
1.39,0
1.17,0
2.41,1
1.59,0
1.51,0
4.0,1
1.41,0
1.08,0
2.14,1
1.63,0
4.0,1
4.0,1
1.55,0
4.0,1
1.29,0
4.0,1
4.0,1
1.94,0
3.54,1
4.0,1
4.0,1
3.92,1
2.2,1
1.16,0
2.11,1
4.0,1
2.82,1
1.68,0
1.5,0
1.95,0
4.0,1
1.2,0
3.5,1
4.0,1
1.11,0
2.14,1
2.11,1
1.11,0
2.56,1
1.04,0
1.0,0
4.0,1
2.5,1
3.08,1
1.76,0
1.08,0
1.04,0
1.06,0
3.43,1
4.0,1
3.76,1
4.0,1
2.67,1
1.17,0
4.0,1
2.06,1
1.09,0
1.14,0
1.28,0
3.35,1
2.11,1
1.16,0
4.0,1
2.02,1
1.52,0
1.44,0
3.43,1
1.62,0
2.31,1
1.88,0
1.23,0
1.58,0
1.06,0
4.0,1
3.42,1
1.17,0
4.0,1
1.5,0
2.88,1
1.25,0
4.0,1
1.63,0
3.92,1
4.0,1
1.95,0
1.36,0
1.76,0
1.3,0
2.76,1
1.07,0
1.16,0
1.33,0
1.29,0
1.9,0
1.0,0
1.4,0
3.16,1
2.43,1
2.31,1
2.81,1
2.08,1
1.8,0
4.0,1
1.52,0
2.5,1
4.0,1
1.6,0
1.0,0
4.0,1
1.01,0
1.68,0
1.78,0
1.95,0
1.19,0
1.06,0
2.29,1
4.0,1
4.0,1
4.0,1
2.26,1
3.03,1
4.0,1
2.14,1
4.0,1
1.32,0
1.73,0
3.74,1
4.0,1
4.0,1
3.56,1
3.25,1
2.15,1
2.45,1
2.64,1
1.48,0
1.48,0
1.43,0
2.38,1
1.68,0
1.09,0
1.06,0
1.16,0
4.0,1
4.0,1
4.0,1
1.65,0
1.48,0
1.46,0
1.08,0
1.1,0
1.6,0
4.0,1
1.18,0
1.04,0
1.85,0
2.02,1
1.33,0
1.58,0
1.01,0
2.88,1
2.12,1
2.81,1
4.0,1
1.02,0
2.14,1
4.0,1
2.85,1
4.0,1
1.89,0
4.0,1
4.0,1
2.58,1
1.27,0
4.0,1
1.17,0
4.0,1
3.28,1
1.49,0
4.0,1
1.13,0
2.99,1
1.5,0
4.0,1
1.04,0
1.56,0
1.77,0
4.0,1
1.49,0
4.0,1
4.0,1
4.0,1
1.4,0
1.24,0
1.2,0
1.17,0
1.62,0
1.58,0
2.33,1
1.44,0
4.0,1
1.48,0
4.0,1
1.71,0
4.0,1
4.0,1
1.82,0
4.0,1
1.54,0
1.23,0
1.41,0
4.0,1
1.55,0
2.0,1
1.02,0
2.45,1
1.78,0
1.19,0
1.32,0
2.86,1
1.7,0
1.46,0
1.14,0
1.12,0
4.0,1
1.04,0
4.0,1
4.0,1
1.06,0
1.01,0
1.95,0
1.06,0
4.0,1
2.52,1
4.0,1
1.85,0
4.0,1
2.4,1
1.68,0
4.0,1
1.77,0
4.0,1
1.24,0
2.59,1
1.45,0
1.54,0
4.0,1
1.16,0
1.37,0
1.01,0
1.54,0
4.0,1
1.66,0
2.33,1
1.78,0
1.48,0
1.17,0
1.44,0
4.0,1
1.27,0
1.3,0
2.0,1
3.34,1
1.13,0
4.0,1
1.11,0
1.15,0
2.07,1
4.0,1
2.57,1
1.1,0
2.27,1
4.0,1
1.05,0
4.0,1
1.23,0
1.59,0
1.12,0
1.03,0
1.24,0
4.0,1
1.92,0
1.08,0
1.24,0
2.04,1
1.22,0
1.58,0
3.14,1
2.32,1
2.87,1
1.38,0
2.15,1
4.0,1
1.94,0
1.03,0
1.36,0
2.06,1
1.28,0
4.0,1
1.44,0
2.1,1
1.05,0
2.41,1
4.0,1
1.79,0
1.09,0
1.08,0
1.5,0
4.0,1
1.12,0
4.0,1
1.54,0
2.17,1
2.24,1
1.7,0
1.25,0
2.39,1
1.19,0
1.34,0
1.0,0
2.78,1
3.21,1
4.0,1
1.01,0
1.41,0
1.54,0
1.53,0
2.37,1
1.28,0
1.36,0
2.55,1
1.4,0
1.13,0
1.61,0
1.54,0
1.8,0
1.28,0
1.79,0
2.82,1
4.0,1
1.91,0
1.81,0
1.36,0
4.0,1
1.17,0
2.15,1
1.71,0
2.02,1
4.0,1
1.81,0
1.65,0
2.18,1
1.51,0
1.7,0
2.04,1
4.0,1
1.56,0
4.0,1
1.85,0
1.77,0
2.2,1
3.34,1
3.7,1
2.19,1
3.82,1
4.0,1
2.0,1
1.6,0
2.2,1
1.67,0
1.05,0
4.0,1
1.84,0
2.85,1
1.0,0
1.56,0
4.0,1
3.85,1
4.0,1
1.45,0
1.88,0
1.41,0
1.4,0
4.0,1
4.0,1
3.96,1
1.14,0
4.0,1
1.13,0
1.07,0
4.0,1
1.51,0
4.0,1
1.54,0
4.0,1
1.1,0
2.09,1
1.38,0
4.0,1
4.0,1
1.21,0
4.0,1
1.35,0
2.41,1
1.89,0
4.0,1
2.46,1
1.92,0
1.2,0
4.0,1
4.0,1
4.0,1
2.48,1
4.0,1
1.51,0
4.0,1
2.87,1
2.38,1
3.44,1
1.15,0
1.14,0
2.09,1
3.36,1
4.0,1
1.01,0
2.81,1
4.0,1
1.37,0
1.68,0
1.66,0
2.41,1
1.05,0
1.0,0
2.17,1
2.52,1
1.35,0
1.47,0
1.08,0
1.15,0
3.03,1
2.12,1
2.06,1
2.66,1
1.03,0
4.0,1
4.0,1
1.24,0
2.49,1
1.16,0
1.68,0
4.0,1
4.0,1
2.26,1
1.01,0
2.15,1
4.0,1
