,Odd_Categoria3
0,5
1,1
2,4
3,8
4,6
5,1
6,7
7,7
8,2
9,8
10,7
11,8
12,7
13,2
14,4
15,1
16,7
17,3
18,1
19,1
20,3
21,6
22,8
23,3
24,5
25,3
26,2
27,7
28,5
29,7
30,8
31,5
32,2
33,2
34,1
35,5
36,5
37,8
38,3
39,5
40,2
41,1
42,6
43,2
44,3
45,6
46,3
47,3
48,8
49,6
50,6
51,5
52,8
53,4
54,4
55,8
56,3
57,1
58,8
59,4
60,4
61,1
62,7
63,6
64,3
65,8
66,4
67,4
68,2
69,3
70,1
71,8
72,7
73,4
74,8
75,8
76,1
77,5
78,8
79,2
80,8
81,5
82,4
83,1
84,2
85,2
86,7
87,8
88,1
89,8
90,7
91,8
92,2
93,7
94,7
95,2
96,2
97,6
98,8
99,2
100,8
101,1
102,3
103,1
104,6
105,3
106,2
107,2
108,8
109,3
110,6
111,4
112,2
113,6
114,3
115,8
116,1
117,1
118,5
119,1
120,2
121,8
122,4
123,8
124,1
125,8
126,5
127,3
128,8
129,6
130,1
131,5
132,4
133,8
134,6
135,2
136,6
137,7
138,5
139,5
140,8
141,8
142,3
143,5
144,8
145,8
146,8
147,1
148,6
149,5
150,1
151,6
152,8
153,4
154,1
155,8
156,5
157,8
158,5
159,8
160,2
161,1
162,4
163,8
164,8
165,8
166,5
167,8
168,6
169,6
170,2
171,4
172,8
173,5
174,8
175,2
176,5
177,4
178,8
179,4
180,7
181,8
182,8
183,1
184,1
185,6
186,3
187,8
188,8
189,8
190,3
191,7
192,8
193,5
194,1
195,4
196,6
197,1
198,4
199,3
200,1
201,4
202,8
203,5
204,7
205,6
206,8
207,6
208,8
209,7
210,2
211,2
212,2
213,1
214,8
215,8
216,8
217,4
218,1
219,5
220,8
221,8
222,8
223,4
224,7
225,3
226,5
227,6
228,8
229,8
230,6
231,1
232,6
233,7
234,3
235,2
236,7
237,7
238,5
239,6
240,8
241,2
242,2
243,1
244,6
245,8
246,3
247,8
248,8
249,2
250,5
251,7
252,8
253,3
254,8
255,4
256,1
257,1
258,8
259,8
260,4
261,4
262,8
263,2
264,8
265,4
266,8
267,6
268,8
269,8
270,8
271,1
272,1
273,7
274,7
275,1
276,7
277,4
278,6
279,8
280,4
281,8
282,5
283,6
284,8
285,8
286,6
287,6
288,4
289,8
290,8
291,7
292,2
293,4
294,3
295,7
296,4
297,1
298,8
299,2
300,5
301,2
302,1
303,8
304,8
305,1
306,8
307,8
308,5
309,7
310,6
311,1
312,1
313,4
314,6
315,8
316,5
317,4
318,7
319,8
320,3
321,8
322,4
323,5
324,5
325,3
326,5
327,8
328,1
329,4
330,5
331,5
332,8
333,8
334,7
335,3
336,5
337,5
338,5
339,1
340,2
341,3
342,1
343,8
344,6
345,3
346,7
347,3
348,5
349,1
350,7
351,3
352,6
353,5
354,3
355,6
356,3
357,1
358,8
359,2
360,7
361,3
362,8
363,7
364,1
365,2
366,8
367,7
368,8
369,3
370,8
371,8
372,8
373,4
374,8
375,7
376,8
377,1
378,2
379,2
380,6
381,5
382,4
383,2
384,7
385,8
386,8
387,8
388,5
389,7
390,8
391,6
392,8
393,3
394,1
395,2
396,5
397,6
398,4
399,7
400,1
401,2
402,8
403,8
404,8
405,5
406,8
407,8
408,3
409,8
410,1
411,1
412,3
413,7
414,4
415,6
416,3
417,8
418,3
419,5
420,2
421,8
422,6
423,2
424,2
425,8
426,8
427,8
428,4
429,1
430,8
431,8
432,5
433,7
434,7
435,4
436,1
437,4
438,8
439,6
440,3
441,7
442,4
443,2
444,5
445,1
446,5
447,8
448,1
449,8
450,6
451,8
452,5
453,1
454,8
455,4
456,8
457,2
458,4
459,8
460,7
461,8
462,5
463,8
464,5
465,8
466,3
467,6
468,8
469,1
470,4
471,1
472,1
473,7
474,8
475,8
476,5
477,8
478,1
479,4
480,2
481,4
482,1
483,7
484,5
485,3
486,5
487,2
488,8
489,7
490,6
491,7
492,8
493,8
494,8
495,4
496,7
497,8
498,8
499,7
