,Listas
0,1
1,1
2,1
3,0
4,1
5,1
6,0
7,1
8,1
9,1
10,1
11,0
12,1
13,1
14,1
15,1
16,1
17,0
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,1
26,0
27,1
28,0
29,1
30,1
31,1
32,1
33,0
34,1
35,1
36,0
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,0
45,0
46,1
47,1
48,0
49,0
50,1
51,0
52,0
53,0
54,1
55,0
56,1
57,1
58,1
59,0
60,1
61,1
62,1
63,1
64,0
65,0
66,1
67,0
68,1
69,1
70,1
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,0
92,0
93,1
94,0
95,0
96,1
97,0
98,1
99,1
100,1
101,0
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,0
110,0
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,0
119,0
120,1
121,1
122,0
123,1
124,1
125,0
126,1
127,0
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,0
137,1
138,1
139,1
140,1
141,1
142,0
143,1
144,1
145,0
146,0
147,0
148,1
149,0
150,1
151,1
152,0
153,1
154,0
155,1
156,0
157,0
158,1
159,0
160,1
161,1
162,1
163,0
164,1
165,1
166,1
167,0
168,1
169,1
170,0
171,1
172,1
173,0
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,0
186,0
187,0
188,0
189,1
190,1
191,0
192,0
193,1
194,0
195,1
196,1
197,0
198,1
199,0
200,1
201,0
202,1
203,0
204,1
205,1
206,1
207,1
208,0
209,0
210,1
211,1
212,1
213,1
214,0
215,1
216,1
217,1
218,1
219,0
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,0
229,1
230,0
231,1
232,1
233,0
234,1
235,1
236,1
237,1
238,0
239,0
240,0
241,0
242,1
243,1
244,0
245,1
246,0
247,1
248,1
249,0
250,1
251,0
252,0
253,0
254,0
255,1
256,1
257,1
258,0
259,0
260,0
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,0
278,1
279,1
280,0
281,1
282,1
283,1
284,1
285,0
286,1
287,1
288,1
289,1
290,0
291,1
292,1
293,1
294,0
295,0
296,0
297,0
298,0
299,0
300,1
301,1
302,0
303,0
304,0
305,1
306,1
307,1
308,1
309,1
310,0
311,1
312,0
313,1
314,1
315,1
316,0
317,0
318,1
319,1
320,0
321,1
322,1
323,0
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,0
338,1
339,1
340,1
341,0
342,0
343,1
344,1
345,0
346,0
347,0
348,1
349,1
350,1
351,1
352,0
353,0
354,0
355,1
356,1
357,0
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,0
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,0
378,1
379,1
380,0
381,0
382,1
383,0
384,1
385,0
386,1
387,0
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,0
396,0
397,1
398,1
399,1
400,1
401,0
402,0
403,1
404,0
405,1
406,1
407,0
408,1
409,1
410,0
411,0
412,1
413,1
414,1
415,1
416,0
417,1
418,1
419,1
420,0
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,0
429,1
430,1
431,0
432,1
433,1
434,1
435,0
436,1
437,1
438,1
439,0
440,1
441,0
442,1
443,1
444,0
445,0
446,0
447,1
448,0
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,0
465,1
466,1
467,1
468,0
469,1
470,1
471,0
472,1
473,1
474,1
475,1
476,0
477,0
478,0
479,0
480,1
481,1
482,0
483,1
484,1
485,1
486,0
487,0
488,0
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,0
497,0
498,1
499,1
500,1
501,0
502,1
503,1
504,1
505,0
506,1
507,0
508,1
509,0
510,0
511,1
512,0
513,0
514,1
515,0
516,1
517,1
518,1
519,0
520,1
521,1
522,1
523,1
524,0
525,1
526,1
527,0
528,0
529,1
530,1
531,1
532,1
533,0
534,0
535,1
536,1
537,0
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,0
548,1
549,0
550,0
551,1
552,0
553,1
554,1
555,1
556,1
557,1
558,0
559,1
560,0
561,1
562,0
563,1
564,1
565,1
566,0
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,0
576,0
577,1
578,0
579,1
580,0
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,0
589,1
590,1
591,1
592,1
593,0
594,1
595,1
596,1
597,1
598,0
599,0
600,0
601,0
602,1
603,1
604,1
605,1
606,0
607,1
608,0
609,1
610,1
611,1
612,1
613,0
614,0
615,1
616,1
617,0
618,1
619,1
620,0
621,0
622,1
623,0
624,0
625,1
626,1
627,1
628,1
629,0
630,1
631,1
632,1
633,0
634,1
635,1
636,1
637,0
638,1
639,1
640,1
641,0
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,0
650,1
651,1
652,0
653,1
654,1
655,1
656,1
657,1
658,1
659,0
660,1
661,0
662,1
663,0
664,0
665,0
666,0
667,0
668,1
669,1
670,1
671,0
672,1
673,1
674,1
675,0
676,1
677,1
678,1
679,0
680,0
681,0
682,1
683,1
684,1
685,1
686,0
687,1
688,1
689,0
690,1
691,1
692,0
693,1
694,0
695,0
696,0
697,1
698,1
699,1
700,0
701,0
702,0
703,1
704,1
705,1
706,0
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,0
721,0
722,1
723,0
724,1
725,1
726,1
727,1
728,1
729,1
730,0
731,0
732,1
733,0
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,0
742,0
743,1
744,1
745,1
746,1
747,0
748,1
749,1
750,1
751,0
752,0
753,1
754,1
755,1
756,1
757,1
758,1
759,0
760,1
761,1
762,1
763,0
764,0
765,1
766,0
767,0
768,1
769,1
770,1
771,1
772,0
773,1
774,1
775,1
776,0
777,0
778,0
779,0
780,1
781,0
782,0
783,1
784,1
785,1
786,1
787,0
788,1
789,1
790,0
791,1
792,1
793,0
794,0
795,1
796,1
797,1
798,1
799,1
800,0
801,1
802,1
803,1
804,1
805,1
806,0
807,1
808,1
809,1
810,0
811,0
812,1
