t,Entrada,Converte_5,Media_Atual_5,Converte_6,Media_Atual_6,Converte_7,Media_Atual_7,Converte_8,Media_Atual_8,Converte_9,Media_Atual_9,Converte_A,Media_Atual_A,Converte_B,Media_Atual_B,Converte_C,Media_Atual_C,Media_2,Media,,PEARSON,DIFF_PEARSON,,,,,RATING1,RATING2,RATING3,,,
0,"2,53",0,,0,,0,,0,,0,,0,,0,,0,,1,,,,,,,,,,,,,,
1,"1,14",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
2,"2,28",0,"0,5",0,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
3,"4,31",1,"0,6666666667",1,"0,6666666667",0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
4,"2,51",1,"0,75",1,"0,75",1,"0,25",1,"0,25",0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
5,"1,73",1,"0,8",1,"0,8",0,"0,2",0,"0,2",0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
6,"1,56",0,"0,6666666667",0,"0,6666666667",0,"0,1666666667",0,"0,1666666667",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7,"230,06",0,"0,5714285714",0,"0,5714285714",0,"0,1428571429",0,"0,1428571429",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
8,"1,2",1,"0,625",1,"0,625",1,"0,25",1,"0,25",1,"0,125",1,"0,125",1,"0,125",1,"0,125",1,,,,,,,,,,,,,,
9,"12,67",0,"0,5555555556",0,"0,5555555556",0,"0,2222222222",0,"0,2222222222",0,"0,1111111111",0,"0,1111111111",0,"0,1111111111",0,"0,1111111111",0,,,,,,,,,,,,,,
10,"10,42",1,"0,6",1,"0,6",1,"0,3",1,"0,3",1,"0,2",1,"0,2",0,"0,1",0,"0,1",1,,,,,,,,,,,,,,
11,"1,86",1,"0,6363636364",1,"0,6363636364",1,"0,3636363636",1,"0,3636363636",1,"0,2727272727",1,"0,2727272727",0,"0,09090909091",0,"0,09090909091",1,,,,,,,,,,,,,,
12,"1,66",1,"0,6666666667",0,"0,5833333333",0,"0,3333333333",0,"0,3333333333",0,"0,25",0,"0,25",0,"0,08333333333",0,"0,08333333333",0,,,,,,,,,,,,,,
13,"2,28",0,"0,6153846154",0,"0,5384615385",0,"0,3076923077",0,"0,3076923077",0,"0,2307692308",0,"0,2307692308",0,"0,07692307692",0,"0,07692307692",0,,,,,,,,,,,,,,
14,"1,61",1,"0,6428571429",1,"0,5714285714",0,"0,2857142857",0,"0,2857142857",0,"0,2142857143",0,"0,2142857143",0,"0,07142857143",0,"0,07142857143",1,,,,,,,,,,,,,,
15,"1,26",0,"0,6",0,"0,5333333333",0,"0,2666666667",0,"0,2666666667",0,"0,2",0,"0,2",0,"0,06666666667",0,"0,06666666667",0,,,,,,,,,,,,,,
16,"1,2",0,"0,5625",0,"0,5",0,"0,25",0,"0,25",0,"0,1875",0,"0,1875",0,"0,0625",0,"0,0625",0,,,,,,,,,,,,,,
17,"9,26",0,"0,5294117647",0,"0,4705882353",0,"0,2352941176",0,"0,2352941176",0,"0,1764705882",0,"0,1764705882",0,"0,05882352941",0,"0,05882352941",0,,,,,,,,,,,,,,
18,"4,3",1,"0,5555555556",1,"0,5",1,"0,2777777778",1,"0,2777777778",1,"0,2222222222",0,"0,1666666667",0,"0,05555555556",0,"0,05555555556",1,,,,,,,,,,,,,,
19,"1,19",1,"0,5789473684",1,"0,5263157895",1,"0,3157894737",1,"0,3157894737",0,"0,2105263158",0,"0,1578947368",0,"0,05263157895",0,"0,05263157895",1,,,,,,,,,,,,,,
20,"1,01",0,"0,55",0,"0,5",0,"0,3",0,"0,3",0,"0,2",0,"0,15",0,"0,05",0,"0,05",0,,,,,,,,,,,,,,
21,"2,75",0,"0,5238095238",0,"0,4761904762",0,"0,2857142857",0,"0,2857142857",0,"0,1904761905",0,"0,1428571429",0,"0,04761904762",0,"0,04761904762",0,,,,,,,,,,,,,,
22,"1,03",1,"0,5454545455",1,"0,5",1,"0,3181818182",0,"0,2727272727",0,"0,1818181818",0,"0,1363636364",0,"0,04545454545",0,"0,04545454545",1,,,,,,,,,,,,,,
23,"1,02",0,"0,5217391304",0,"0,4782608696",0,"0,3043478261",0,"0,2608695652",0,"0,1739130435",0,"0,1304347826",0,"0,04347826087",0,"0,04347826087",0,,,,,,,,,,,,,,
24,"1,33",0,"0,5",0,"0,4583333333",0,"0,2916666667",0,"0,25",0,"0,1666666667",0,"0,125",0,"0,04166666667",0,"0,04166666667",0,,,,,,,,,,,,,,
25,"4,52",0,"0,48",0,"0,44",0,"0,28",0,"0,24",0,"0,16",0,"0,12",0,"0,04",0,"0,04",0,,,,,,,,,,,,,,
26,"1,51",1,"0,5",1,"0,4615384615",1,"0,3076923077",1,"0,2692307692",0,"0,1538461538",0,"0,1153846154",0,"0,03846153846",0,"0,03846153846",1,,,,,,,,,,,,,,
27,"1,05",0,"0,4814814815",0,"0,4444444444",0,"0,2962962963",0,"0,2592592593",0,"0,1481481481",0,"0,1111111111",0,"0,03703703704",0,"0,03703703704",0,,,,,,,,,,,,,,
28,"3,54",0,"0,4642857143",0,"0,4285714286",0,"0,2857142857",0,"0,25",0,"0,1428571429",0,"0,1071428571",0,"0,03571428571",0,"0,03571428571",0,,,,,,,,,,,,,,
29,"8,75",1,"0,4827586207",1,"0,4482758621",1,"0,3103448276",0,"0,2413793103",0,"0,1379310345",0,"0,1034482759",0,"0,03448275862",0,"0,03448275862",1,,,,,,,,,,,,,,
30,"3,08",1,"0,5",1,"0,4666666667",1,"0,3333333333",1,"0,2666666667",1,"0,1666666667",0,"0,1",0,"0,03333333333",0,"0,03333333333",1,,,,,,,,,,,,,,
31,"2,33",1,"0,5161290323",1,"0,4838709677",1,"0,3548387097",0,"0,2580645161",0,"0,1612903226",0,"0,09677419355",0,"0,03225806452",0,"0,03225806452",1,,,,,,,,,,,,,,
32,"1,23",1,"0,53125",1,"0,5",0,"0,34375",0,"0,25",0,"0,15625",0,"0,09375",0,"0,03125",0,"0,03125",1,,,,,,,,,,,,,,
33,"1,4",0,"0,5151515152",0,"0,4848484848",0,"0,3333333333",0,"0,2424242424",0,"0,1515151515",0,"0,09090909091",0,"0,0303030303",0,"0,0303030303",0,,,,,,,,,,,,,,
34,"2,53",0,"0,5",0,"0,4705882353",0,"0,3235294118",0,"0,2352941176",0,"0,1470588235",0,"0,08823529412",0,"0,02941176471",0,"0,02941176471",0,,,,,,,,,,,,,,
35,"1,18",1,"0,5142857143",1,"0,4857142857",0,"0,3142857143",0,"0,2285714286",0,"0,1428571429",0,"0,08571428571",0,"0,02857142857",0,"0,02857142857",1,,,,,,,,,,,,,,
36,"1,67",0,"0,5",0,"0,4722222222",0,"0,3055555556",0,"0,2222222222",0,"0,1388888889",0,"0,08333333333",0,"0,02777777778",0,"0,02777777778",0,,,,,,,,,,,,,,
37,"1,37",0,"0,4864864865",0,"0,4594594595",0,"0,2972972973",0,"0,2162162162",0,"0,1351351351",0,"0,08108108108",0,"0,02702702703",0,"0,02702702703",0,,,,,,,,,,,,,,
38,"1,35",0,"0,4736842105",0,"0,4473684211",0,"0,2894736842",0,"0,2105263158",0,"0,1315789474",0,"0,07894736842",0,"0,02631578947",0,"0,02631578947",0,,,,,,,,,,,,,,
39,"1,28",0,"0,4615384615",0,"0,4358974359",0,"0,2820512821",0,"0,2051282051",0,"0,1282051282",0,"0,07692307692",0,"0,02564102564",0,"0,02564102564",0,,,,,,,,,,,,,,
40,"20,14",0,"0,45",0,"0,425",0,"0,275",0,"0,2",0,"0,125",0,"0,075",0,"0,025",0,"0,025",0,,,,,,,,,,,,,,
41,"7,08",1,"0,4634146341",1,"0,4390243902",1,"0,2926829268",1,"0,2195121951",1,"0,1463414634",1,"0,09756097561",1,"0,0487804878",0,"0,0243902439",1,,,,,,,,,,,,,,
42,"4,55",1,"0,4761904762",1,"0,4523809524",1,"0,3095238095",1,"0,2380952381",1,"0,1666666667",0,"0,09523809524",0,"0,04761904762",0,"0,02380952381",1,,,,,,,,,,,,,,
43,"2,11",1,"0,488372093",1,"0,4651162791",1,"0,3255813953",1,"0,2558139535",0,"0,1627906977",0,"0,09302325581",0,"0,04651162791",0,"0,02325581395",1,,,,,,,,,,,,,,
44,"1,71",1,"0,5",0,"0,4545454545",0,"0,3181818182",0,"0,25",0,"0,1590909091",0,"0,09090909091",0,"0,04545454545",0,"0,02272727273",1,,,,,,,,,,,,,,
45,"1,24",0,"0,4888888889",0,"0,4444444444",0,"0,3111111111",0,"0,2444444444",0,"0,1555555556",0,"0,08888888889",0,"0,04444444444",0,"0,02222222222",0,,,,,,,,,,,,,,
46,"5,6",0,"0,4782608696",0,"0,4347826087",0,"0,3043478261",0,"0,2391304348",0,"0,152173913",0,"0,08695652174",0,"0,04347826087",0,"0,02173913043",0,,,,,,,,,,,,,,
47,"1,2",1,"0,4893617021",1,"0,4468085106",1,"0,3191489362",1,"0,2553191489",0,"0,1489361702",0,"0,08510638298",0,"0,04255319149",0,"0,02127659574",1,,,,,,,,,,,,,,
48,"1,74",0,"0,4791666667",0,"0,4375",0,"0,3125",0,"0,25",0,"0,1458333333",0,"0,08333333333",0,"0,04166666667",0,"0,02083333333",0,,,,,,,,,,,,,,
49,"1,01",0,"0,4693877551",0,"0,4285714286",0,"0,306122449",0,"0,2448979592",0,"0,1428571429",0,"0,08163265306",0,"0,04081632653",0,"0,02040816327",0,,,,,,,,,,,,,,
50,"13,32",0,"0,46",0,"0,42",0,"0,3",0,"0,24",0,"0,14",0,"0,08",0,"0,04",0,"0,02",0,,,,,,,,,,,,,,
51,"5,21",1,"0,4705882353",1,"0,431372549",1,"0,3137254902",1,"0,2549019608",1,"0,1568627451",1,"0,09803921569",0,"0,03921568627",0,"0,01960784314",1,,,,,,,,,,,,,,
52,"7,65",1,"0,4807692308",1,"0,4423076923",1,"0,3269230769",1,"0,2692307692",0,"0,1538461538",0,"0,09615384615",0,"0,03846153846",0,"0,01923076923",1,,,,,,,,,,,,,,
53,"1,05",1,"0,4905660377",1,"0,4528301887",1,"0,3396226415",1,"0,2830188679",1,"0,1698113208",0,"0,09433962264",0,"0,03773584906",0,"0,01886792453",1,,,,,,,,,,,,,,
54,"1,64",0,"0,4814814815",0,"0,4444444444",0,"0,3333333333",0,"0,2777777778",0,"0,1666666667",0,"0,09259259259",0,"0,03703703704",0,"0,01851851852",0,,,,,,,,,,,,,,
55,"3,61",0,"0,4727272727",0,"0,4363636364",0,"0,3272727273",0,"0,2727272727",0,"0,1636363636",0,"0,09090909091",0,"0,03636363636",0,"0,01818181818",0,,,,,,,,,,,,,,
56,"1,16",1,"0,4821428571",1,"0,4464285714",1,"0,3392857143",0,"0,2678571429",0,"0,1607142857",0,"0,08928571429",0,"0,03571428571",0,"0,01785714286",1,,,,,,,,,,,,,,
57,"4,22",0,"0,4736842105",0,"0,4385964912",0,"0,3333333333",0,"0,2631578947",0,"0,1578947368",0,"0,08771929825",0,"0,0350877193",0,"0,01754385965",0,,,,,,,,,,,,,,
58,"1,98",1,"0,4827586207",1,"0,4482758621",1,"0,3448275862",1,"0,275862069",0,"0,1551724138",0,"0,08620689655",0,"0,03448275862",0,"0,01724137931",1,,,,,,,,,,,,,,
59,"11,09",1,"0,4915254237",0,"0,4406779661",0,"0,3389830508",0,"0,2711864407",0,"0,1525423729",0,"0,08474576271",0,"0,03389830508",0,"0,01694915254",0,,,,,,,,,,,,,,
60,"2,31",1,"0,5",1,"0,45",1,"0,35",1,"0,2833333333",1,"0,1666666667",1,"0,1",0,"0,03333333333",0,"0,01666666667",1,,,,,,,,,,,,,,
61,"2,11",1,"0,5081967213",1,"0,4590163934",0,"0,3442622951",0,"0,2786885246",0,"0,1639344262",0,"0,09836065574",0,"0,03278688525",0,"0,01639344262",1,"0,4666666667","0,5035393853",,,,,,,,,,,,
62,"9,32",1,"0,5161290323",0,"0,4516129032",0,"0,3387096774",0,"0,2741935484",0,"0,1612903226",0,"0,09677419355",0,"0,03225806452",0,"0,01612903226",1,"0,4666666667","0,5035393853",,,,,,,,,,,,
63,"4,17",1,"0,5238095238",1,"0,4603174603",1,"0,3492063492",1,"0,2857142857",1,"0,1746031746",0,"0,09523809524",0,"0,03174603175",0,"0,01587301587",1,"0,4833333333","0,5040817004",,,,,,,,,,,,
64,"1,87",1,"0,53125",1,"0,46875",1,"0,359375",1,"0,296875",0,"0,171875",0,"0,09375",0,"0,03125",0,"0,015625",1,"0,4833333333","0,5040817004",,,,,,,,,,,,
65,"2,54",1,"0,5384615385",0,"0,4615384615",0,"0,3538461538",0,"0,2923076923",0,"0,1692307692",0,"0,09230769231",0,"0,03076923077",0,"0,01538461538",0,"0,4833333333","0,5035393853",,,,,,,,,,,,
66,"1,02",1,"0,5454545455",1,"0,4696969697",0,"0,3484848485",0,"0,2878787879",0,"0,1666666667",0,"0,09090909091",0,"0,0303030303",0,"0,01515151515",1,"0,4666666667","0,5035393853",,,,,,,,,,,,
67,"3,6",0,"0,5373134328",0,"0,4626865672",0,"0,3432835821",0,"0,2835820896",0,"0,1641791045",0,"0,08955223881",0,"0,02985074627",0,"0,01492537313",0,"0,4833333333","0,5035393853",,,,,,,"0,01666666667",,,,,
68,"1,27",1,"0,5441176471",1,"0,4705882353",1,"0,3529411765",0,"0,2794117647",0,"0,1617647059",0,"0,08823529412",0,"0,02941176471",0,"0,01470588235",1,"0,4833333333","0,5040817004",,,,,,,"0,01666666667",,,,,
69,"3,07",0,"0,5362318841",0,"0,4637681159",0,"0,347826087",0,"0,2753623188",0,"0,1594202899",0,"0,08695652174",0,"0,02898550725",0,"0,01449275362",0,"0,4833333333","0,5035393853",,,,,,,0,,,,,
70,"1,37",1,"0,5428571429",1,"0,4714285714",1,"0,3571428571",0,"0,2714285714",0,"0,1571428571",0,"0,08571428571",0,"0,02857142857",0,"0,01428571429",1,"0,4833333333","0,5040817004",,,,,,,0,,,,,
71,"1,42",0,"0,5352112676",0,"0,4647887324",0,"0,3521126761",0,"0,2676056338",0,"0,1549295775",0,"0,08450704225",0,"0,02816901408",0,"0,01408450704",0,"0,4833333333","0,5035393853",,,,,,,0,,,,,
72,1,0,"0,5277777778",0,"0,4583333333",0,"0,3472222222",0,"0,2638888889",0,"0,1527777778",0,"0,08333333333",0,"0,02777777778",0,"0,01388888889",0,"0,4666666667","0,5024529992",,,,,,,0,,,,,
73,"1,56",0,"0,5205479452",0,"0,4520547945",0,"0,3424657534",0,"0,2602739726",0,"0,1506849315",0,"0,08219178082",0,"0,02739726027",0,"0,01369863014",0,"0,4666666667","0,5024529992",,,,,,,"-0,01666666667",0,,,,
74,"2,22",0,"0,5135135135",0,"0,4459459459",0,"0,3378378378",0,"0,2567567568",0,"0,1486486486",0,"0,08108108108",0,"0,02702702703",0,"0,01351351351",0,"0,4666666667","0,5024529992",,,,,,,"-0,01666666667",0,,,,
75,"1,04",1,"0,52",1,"0,4533333333",0,"0,3333333333",0,"0,2533333333",0,"0,1466666667",0,"0,08",0,"0,02666666667",0,"0,01333333333",1,"0,45","0,5024529992",,,,,,,"-0,03333333333","-0,03333333333",,,,
