,Odd,Odd_Categoria,odd_entrada
0,3.85,9,11.0
1,6.96,10,9.0
2,5.41,10,10.0
3,1.05,2,10.0
4,1.7,6,2.0
5,3.88,9,6.0
6,1.3,4,9.0
7,1.86,6,4.0
8,1.86,6,6.0
9,5.35,10,6.0
10,5.15,10,10.0
11,1.15,3,10.0
12,1.75,6,3.0
13,2.27,7,6.0
14,1.63,5,7.0
15,6.23,10,5.0
16,3.1,8,10.0
17,1.01,1,8.0
18,1.28,3,1.0
19,106.11,11,3.0
20,1.18,3,11.0
21,1.13,2,3.0
22,2.12,7,2.0
23,9.03,10,7.0
24,1.75,6,10.0
25,1.5,5,6.0
26,1.44,4,5.0
27,1.6,5,4.0
28,1.34,4,5.0
29,7.79,10,4.0
30,2.81,8,10.0
31,8.53,10,8.0
32,9.56,10,10.0
33,1.06,2,10.0
34,2.26,7,2.0
35,2.01,6,7.0
36,1.36,4,6.0
37,2.23,7,4.0
38,2.45,7,7.0
39,1.54,5,7.0
40,19.92,11,5.0
41,2.8,8,11.0
42,5.42,10,8.0
43,4.28,9,10.0
44,0.0,1,9.0
45,1.19,3,1.0
46,3.46,8,3.0
47,1.98,6,8.0
48,1.37,4,6.0
49,1.07,2,4.0
50,8.9,10,2.0
51,1.37,4,10.0
52,1.13,2,4.0
53,1.43,4,2.0
54,7.17,10,4.0
55,1.12,2,10.0
56,14.4,11,2.0
57,6.42,10,11.0
58,4.17,9,10.0
59,1.12,2,9.0
60,2.28,7,2.0
61,3.15,8,7.0
62,1.72,6,8.0
63,1.54,5,6.0
64,1.31,4,5.0
65,1.4,4,4.0
66,4.84,9,4.0
67,1.36,4,9.0
68,1.65,5,4.0
69,3.98,9,5.0
70,2.08,6,9.0
71,1.19,3,6.0
72,5.15,10,3.0
73,1.52,5,10.0
74,1.63,5,5.0
75,1.31,4,5.0
76,1.49,5,4.0
77,4.02,9,5.0
78,1.17,3,9.0
79,4.24,9,3.0
80,1.03,1,9.0
81,2.07,6,1.0
82,2.85,8,6.0
83,4.08,9,8.0
84,1.65,5,9.0
85,19.68,11,5.0
86,2.98,8,11.0
87,6.0,10,8.0
88,5.9,10,10.0
89,3.36,8,10.0
90,1.54,5,8.0
91,1.12,2,5.0
92,1.11,2,2.0
93,4.87,9,2.0
94,1.17,3,9.0
95,1.08,2,3.0
96,12.05,11,2.0
97,1.11,2,11.0
98,2.89,8,2.0
99,18.84,11,8.0
100,1.68,5,11.0
101,1.19,3,5.0
102,5.7,10,3.0
103,3.57,9,10.0
104,5.24,10,9.0
105,4.98,9,10.0
106,23.93,11,9.0
107,3.43,8,11.0
108,2.0,6,8.0
109,1.04,1,6.0
110,1.02,1,1.0
111,11.88,11,1.0
112,2.39,7,11.0
113,1.78,6,7.0
114,3.89,9,6.0
115,4.16,9,9.0
116,6.11,10,9.0
117,2.49,7,10.0
118,1.26,3,7.0
119,1.01,1,3.0
120,1.82,6,1.0
121,10.17,11,6.0
122,1.26,3,11.0
123,6.45,10,3.0
124,2.68,8,10.0
125,1.24,3,8.0
126,2.82,8,3.0
127,1.31,4,8.0
128,2.33,7,4.0
129,18.5,11,7.0
130,4.36,9,11.0
131,2.19,7,9.0
132,4.64,9,7.0
133,7.05,10,9.0
134,1.59,5,10.0
135,5.4,10,5.0
136,1.07,2,10.0
137,30.93,11,2.0
138,28.4,11,11.0
139,1.58,5,11.0
140,4.24,9,5.0
141,3.05,8,9.0
142,1.33,4,8.0
143,192.03,11,4.0
144,10.77,11,11.0
145,1.21,3,11.0
146,1.12,2,3.0
147,1.11,2,2.0
148,2.83,8,2.0
149,1.33,4,8.0
150,1.93,6,4.0
151,11.1,11,6.0
152,1.12,2,11.0
153,1.8,6,2.0
154,1.3,4,6.0
155,1.49,5,4.0
156,1.17,3,5.0
157,1.13,2,3.0
158,2.69,8,2.0
159,1.32,4,8.0
160,8.12,10,4.0
161,1.51,5,10.0
162,45.35,11,5.0
163,1.07,2,11.0
