,Odd,Odd_Categoria,odd_entrada
0,1.41,4,1.0
1,3.1,8,4.0
2,1.22,3,8.0
3,8.19,10,3.0
4,62.14,11,10.0
5,1.63,5,11.0
6,3.12,8,5.0
7,1.76,6,8.0
8,235.4,11,6.0
9,2.14,7,11.0
10,16.36,11,7.0
11,2.13,7,11.0
12,2.24,7,7.0
13,1.91,6,7.0
14,2.63,8,6.0
15,3.68,9,8.0
16,150.01,11,9.0
17,1.04,1,11.0
18,8.29,10,1.0
19,2.16,7,10.0
20,3.96,9,7.0
21,1.24,3,9.0
22,3.62,9,3.0
23,2.23,7,9.0
24,1.77,6,7.0
25,14.01,11,6.0
26,1.96,6,11.0
27,2.98,8,6.0
28,1.22,3,8.0
29,1.54,5,3.0
30,10.46,11,5.0
31,2.18,7,11.0
32,5.01,10,7.0
33,1.54,5,10.0
34,11.99,11,5.0
35,1.83,6,11.0
36,1.93,6,6.0
37,1.68,5,6.0
38,6.26,10,5.0
39,1.18,3,10.0
40,1.28,3,3.0
41,5.55,10,3.0
42,1.97,6,10.0
43,3.41,8,6.0
44,2.4,7,8.0
45,1.24,3,7.0
46,1.01,1,3.0
47,2.83,8,1.0
48,3.85,9,8.0
49,1.08,2,9.0
50,2.84,8,2.0
51,1.44,4,8.0
52,1.22,3,4.0
53,6.36,10,3.0
54,2.24,7,10.0
55,2.92,8,7.0
56,1.65,5,8.0
57,4.46,9,5.0
58,3.55,9,9.0
59,2.33,7,9.0
60,1.87,6,7.0
61,7.94,10,6.0
62,3.46,8,10.0
63,1.99,6,8.0
64,1.91,6,6.0
65,10.73,11,6.0
66,0.0,1,11.0
67,1.86,6,1.0
68,1.06,2,6.0
69,2.36,7,2.0
70,1.23,3,7.0
71,1.19,3,3.0
72,1.02,1,3.0
73,2.52,7,1.0
74,3.27,8,7.0
75,3.71,9,8.0
76,1.04,1,9.0
77,16.72,11,1.0
78,3.27,8,11.0
79,1.53,5,8.0
80,1.68,5,5.0
81,3.71,9,5.0
82,11.31,11,9.0
83,4.79,9,11.0
84,1.5,5,9.0
85,1.19,3,5.0
86,1.3,4,3.0
87,1.21,3,4.0
88,12.79,11,3.0
89,3.47,8,11.0
90,1.53,5,8.0
91,58.28,11,5.0
92,1.48,5,11.0
93,1.06,2,5.0
94,8.42,10,2.0
95,1.01,1,10.0
96,1.21,3,1.0
97,2.67,8,3.0
98,1.83,6,8.0
99,1.21,3,6.0
100,1.83,6,3.0
101,1.76,6,6.0
102,1.63,5,6.0
103,1.07,2,5.0
104,1.31,4,2.0
105,3.22,8,4.0
106,4.57,9,8.0
107,7.72,10,9.0
108,1.29,3,10.0
109,1.78,6,3.0
110,3.61,9,6.0
111,1.53,5,9.0
112,2.96,8,5.0
113,1.81,6,8.0
114,1.25,3,6.0
115,1.67,5,3.0
116,10.03,11,5.0
117,2.09,6,11.0
118,8.83,10,6.0
119,1.22,3,10.0
120,8.93,10,3.0
121,5.64,10,10.0
122,4.47,9,10.0
123,2.53,7,9.0
124,69.82,11,7.0
125,1.02,1,11.0
126,1.65,5,1.0
127,1.56,5,5.0
128,2.82,8,5.0
129,1.04,1,8.0
130,1.03,1,1.0
131,1.2,3,1.0
132,1.31,4,3.0
133,1.55,5,4.0
134,11.59,11,5.0
135,1.08,2,11.0
136,2.13,7,2.0
137,1.36,4,7.0
138,1.1,2,4.0
139,1.4,4,2.0
140,2.07,6,4.0
141,141.45,11,6.0
142,9.67,10,11.0
143,1.43,4,10.0
144,1.24,3,4.0
145,4.49,9,3.0
146,7.44,10,9.0
147,1.14,2,10.0
148,1.16,3,2.0
149,1.05,2,3.0
150,1.4,4,2.0
151,2.95,8,4.0
152,1.05,2,8.0
153,1.61,5,2.0
154,1.1,2,5.0
155,5.59,10,2.0
156,1.07,2,10.0
157,1.03,1,2.0
158,3.43,8,1.0
159,1.37,4,8.0
160,1.83,6,4.0
161,3.04,8,6.0
162,2.32,7,8.0
163,5.4,10,7.0
164,1.14,2,10.0
165,3.51,9,2.0
166,3.49,8,9.0
167,1.9,6,8.0
168,1.05,2,6.0
169,7.28,10,2.0
170,1.34,4,10.0
171,3.01,8,4.0
172,2.47,7,8.0
173,1.29,3,7.0
174,1.31,4,3.0
175,1.49,5,4.0
176,1.18,3,5.0
177,4.33,9,3.0
178,1.31,4,9.0
179,1.06,2,4.0
180,4.06,9,2.0
181,1.32,4,9.0
182,1.36,4,4.0
183,1.84,6,4.0
184,4.47,9,6.0
185,3.38,8,9.0
186,2.94,8,8.0
187,5.11,10,8.0
188,1.1,2,10.0
189,1.07,2,2.0
190,1.98,6,2.0
191,2.17,7,6.0
192,1.38,4,7.0
193,0.0,1,4.0
194,41.89,11,1.0
195,2.91,8,11.0
196,2.49,7,8.0
197,1.38,4,7.0
198,1.28,3,4.0
199,1.46,5,3.0
200,4.71,9,5.0
201,16.88,11,9.0
202,1.43,4,11.0
203,1.91,6,4.0
204,4.5,9,6.0
205,1.65,5,9.0
206,9.48,10,5.0
207,3.06,8,10.0
208,4.64,9,8.0
209,1.26,3,9.0
210,32.72,11,3.0
211,1.77,6,11.0
212,1.57,5,6.0
213,1.21,3,5.0
214,57.42,11,3.0
215,2.96,8,11.0
216,1.39,4,8.0
217,1.87,6,4.0
218,2.03,6,6.0
219,1.91,6,6.0
220,1.58,5,6.0
221,5.19,10,5.0
222,2.23,7,10.0
223,3.4,8,7.0
224,1.03,1,8.0
225,1.38,4,1.0
226,1.07,2,4.0
227,1.16,3,2.0
228,3.07,8,3.0
229,1.12,2,8.0
230,1.68,5,2.0
231,7.63,10,5.0
232,1.13,2,10.0
233,1.08,2,2.0
234,1.02,1,2.0
235,18.33,11,1.0
236,1.25,3,11.0
237,1.88,6,3.0
238,1.36,4,6.0
239,2.08,6,4.0
240,1.13,2,6.0
241,3.69,9,2.0
242,3.27,8,9.0
243,2.95,8,8.0
244,1.12,2,8.0
245,1.32,4,2.0
246,5.51,10,4.0
247,1.24,3,10.0
248,3.56,9,3.0
249,1.21,3,9.0
250,1.05,2,3.0
251,1.86,6,2.0
252,5.05,10,6.0
253,1.04,1,10.0
254,1.01,1,1.0
255,1.99,6,1.0
256,2.82,8,6.0
257,1.45,5,8.0
258,1.72,6,5.0
259,20.21,11,6.0
260,18.25,11,11.0
261,1.35,4,11.0
262,1.3,4,4.0
263,4.83,9,4.0
264,4.43,9,9.0
265,1.11,2,9.0
266,2.17,7,2.0
267,1.08,2,7.0
268,1.38,4,2.0
269,2.51,7,4.0
270,6.33,10,7.0
271,1.58,5,10.0
272,3.14,8,5.0
273,3.84,9,8.0
274,1.06,2,9.0
275,1.31,4,2.0
276,3.76,9,4.0
277,2.5,7,9.0
278,1.36,4,7.0
279,1.7,6,4.0
280,2.15,7,6.0
281,10.09,11,7.0
282,2.0,6,11.0
283,29.47,11,6.0
284,1.04,1,11.0
285,1.12,2,1.0
286,4.43,9,2.0
287,1.63,5,9.0
288,2.0,6,5.0
289,2.63,8,6.0
290,2.63,8,8.0
291,1.86,6,8.0
292,16.05,11,6.0
293,6.73,10,11.0
294,1.53,5,10.0
295,6.26,10,5.0
296,1.01,1,10.0
297,17.84,11,1.0
298,1.54,5,11.0
299,4.25,9,5.0
300,9.02,10,9.0
301,9.4,10,10.0
302,2.2,7,10.0
303,2.52,7,7.0
304,5.32,10,7.0
305,1.02,1,10.0
306,15.76,11,1.0
307,1.37,4,11.0
308,3.54,9,4.0
309,1.61,5,9.0
310,1.78,6,5.0
311,1.06,2,6.0
312,1.04,1,2.0
313,3.77,9,1.0
314,21.24,11,9.0
315,1.52,5,11.0
316,2.3,7,5.0
317,4.24,9,7.0
318,1.88,6,9.0
319,1.39,4,6.0
320,1.62,5,4.0
321,2.06,6,5.0
322,0.0,1,6.0
323,1.5,5,1.0
324,76.29,11,5.0
325,1.01,1,11.0
326,1.33,4,1.0
327,1.65,5,4.0
328,4.57,9,5.0
329,18.35,11,9.0
330,2.31,7,11.0
331,1.18,3,7.0
332,1.61,5,3.0
333,9.66,10,5.0
334,1.25,3,10.0
335,1.11,2,3.0
336,1.93,6,2.0
337,2.46,7,6.0
338,1.06,2,7.0
339,2.99,8,2.0
340,1.52,5,8.0
341,3.96,9,5.0
342,1.39,4,9.0
343,2.82,8,4.0
344,1.83,6,8.0
345,1.08,2,6.0
346,1.13,2,2.0
347,4.86,9,2.0
348,1.09,2,9.0
349,1.74,6,2.0
350,2.27,7,6.0
351,1.52,5,7.0
352,1.25,3,5.0
353,1.87,6,3.0
354,4.76,9,6.0
355,1.05,2,9.0
356,2.27,7,2.0
357,1.57,5,7.0
358,12.15,11,5.0
359,2.11,7,11.0
