Entrada,Resultado
6.0,1
2.02,0
2.02,0
1.54,0
2.2,0
1.51,0
6.0,1
3.89,1
1.02,0
1.48,0
1.25,0
1.07,0
1.93,0
4.33,1
3.59,1
3.26,1
1.83,0
1.6,0
2.07,0
6.0,1
1.21,0
5.46,1
3.81,1
1.3,0
1.95,0
1.04,0
1.28,0
1.03,0
1.05,0
3.39,1
1.05,0
2.59,0
2.53,0
6.0,1
1.34,0
1.56,0
1.0,0
1.22,0
1.05,0
6.0,1
2.54,0
2.44,0
2.34,0
6.0,1
6.0,1
1.44,0
1.63,0
2.57,0
1.73,0
1.22,0
1.34,0
1.33,0
1.0,0
2.87,0
2.28,0
6.0,1
1.0,0
1.73,0
1.05,0
1.52,0
5.63,1
4.44,1
3.91,1
6.0,1
2.44,0
1.43,0
1.83,0
1.31,0
1.61,0
1.73,0
1.4,0
2.12,0
1.49,0
5.97,1
1.12,0
1.55,0
1.4,0
2.62,0
2.87,0
1.77,0
1.02,0
1.28,0
6.0,1
2.18,0
1.99,0
4.71,1
1.01,0
1.15,0
1.41,0
6.0,1
1.92,0
1.2,0
1.0,0
2.35,0
6.0,1
1.24,0
4.81,1
1.0,0
1.27,0
1.49,0
1.94,0
1.98,0
5.93,1
1.76,0
1.9,0
1.71,0
6.0,1
6.0,1
6.0,1
2.03,0
1.14,0
1.29,0
6.0,1
1.0,0
2.21,0
3.09,1
1.49,0
3.34,1
1.04,0
2.26,0
1.21,0
1.26,0
1.01,0
1.21,0
3.08,1
2.7,0
2.3,0
2.51,0
1.17,0
1.02,0
4.1,1
1.17,0
1.61,0
6.0,1
2.74,0
1.67,0
5.5,1
1.41,0
1.13,0
1.0,0
1.49,0
2.3,0
1.31,0
1.18,0
6.0,1
6.0,1
3.16,1
4.08,1
6.0,1
6.0,1
6.0,1
2.16,0
5.1,1
6.0,1
1.65,0
1.0,0
6.0,1
2.12,0
1.1,0
6.0,1
1.13,0
1.64,0
1.01,0
2.11,0
1.21,0
1.71,0
3.63,1
6.0,1
6.0,1
3.42,1
6.0,1
5.45,1
2.62,0
3.2,1
6.0,1
3.1,1
3.65,1
2.88,0
1.74,0
6.0,1
6.0,1
2.47,0
6.0,1
1.52,0
1.5,0
2.36,0
1.0,0
6.0,1
1.87,0
2.11,0
5.53,1
1.46,0
1.14,0
6.0,1
1.0,0
2.3,0
1.41,0
3.8,1
1.03,0
3.41,1
6.0,1
1.0,0
1.39,0
2.36,0
2.18,0
1.3,0
1.1,0
1.87,0
3.76,1
1.52,0
6.0,1
2.08,0
4.89,1
5.59,1
1.18,0
6.0,1
2.66,0
1.65,0
1.02,0
1.59,0
6.0,1
1.28,0
1.42,0
1.08,0
2.57,0
1.02,0
5.11,1
1.96,0
1.26,0
1.17,0
1.34,0
1.05,0
1.18,0
2.99,0
1.08,0
2.19,0
1.08,0
1.14,0
6.0,1
2.29,0
3.45,1
1.07,0
6.0,1
1.19,0
1.05,0
1.67,0
1.1,0
6.0,1
1.02,0
1.53,0
2.38,0
1.38,0
1.28,0
5.21,1
6.0,1
1.17,0
1.06,0
3.69,1
1.04,0
1.54,0
1.45,0
1.47,0
3.41,1
6.0,1
1.08,0
2.15,0
1.38,0
6.0,1
1.02,0
4.11,1
2.2,0
4.17,1
2.7,0
1.04,0
2.14,0
1.37,0
1.88,0
2.85,0
6.0,1
1.09,0
2.08,0
4.32,1
1.08,0
5.52,1
2.37,0
2.47,0
1.66,0
1.3,0
6.0,1
2.6,0
6.0,1
1.65,0
1.0,0
1.88,0
6.0,1
1.51,0
3.01,1
2.11,0
4.35,1
1.14,0
1.8,0
5.07,1
6.0,1
2.43,0
6.0,1
1.97,0
6.0,1
6.0,1
3.93,1
1.57,0
1.31,0
5.01,1
3.79,1
1.34,0
5.43,1
1.48,0
1.26,0
1.02,0
1.63,0
3.74,1
1.16,0
6.0,1
1.29,0
2.93,0
6.0,1
1.01,0
6.0,1
1.02,0
2.73,0
2.0,0
1.11,0
1.49,0
4.1,1
1.0,0
5.61,1
1.19,0
1.03,0
1.22,0
1.27,0
2.54,0
1.36,0
1.16,0
1.14,0
2.85,0
1.38,0
1.36,0
6.0,1
1.28,0
1.25,0
2.47,0
3.92,1
2.87,0
1.09,0
1.02,0
1.59,0
1.72,0
1.28,0
1.19,0
3.48,1
1.79,0
1.0,0
1.08,0
3.69,1
1.32,0
6.0,1
1.42,0
1.0,0
4.26,1
1.37,0
4.83,1
1.65,0
1.36,0
6.0,1
6.0,1
6.0,1
2.95,0
2.53,0
6.0,1
1.42,0
1.65,0
4.93,1
1.3,0
1.76,0
1.21,0
4.58,1
1.84,0
3.43,1
6.0,1
6.0,1
1.61,0
1.16,0
4.51,1
6.0,1
2.75,0
6.0,1
1.65,0
1.48,0
1.53,0
1.09,0
1.12,0
1.89,0
3.44,1
5.54,1
1.37,0
6.0,1
3.48,1
6.0,1
1.07,0
1.53,0
1.14,0
2.26,0
1.01,0
1.08,0
1.01,0
1.87,0
1.04,0
1.87,0
3.55,1
6.0,1
1.05,0
2.15,0
1.54,0
1.06,0
1.35,0
1.14,0
2.66,0
2.07,0
1.37,0
3.49,1
1.09,0
5.71,1
1.85,0
6.0,1
1.5,0
1.58,0
2.32,0
1.82,0
3.7,1
1.01,0
6.0,1
2.69,0
3.86,1
1.37,0
1.74,0
2.34,0
1.75,0
1.95,0
1.25,0
6.0,1
6.0,1
4.43,1
2.03,0
4.2,1
6.0,1
1.0,0
1.08,0
1.65,0
1.09,0
3.88,1
3.35,1
1.34,0
1.64,0
2.08,0
2.59,0
1.1,0
1.08,0
3.16,1
6.0,1
1.39,0
6.0,1
2.74,0
3.18,1
1.22,0
1.12,0
1.0,0
1.5,0
6.0,1
1.73,0
1.29,0
6.0,1
1.59,0
1.55,0
1.21,0
1.7,0
1.66,0
4.99,1
1.02,0
1.73,0
1.19,0
2.93,0
1.35,0
1.07,0
2.48,0
1.12,0
1.28,0
1.96,0
4.83,1
1.2,0
1.06,0
1.09,0
1.04,0
2.14,0
6.0,1
2.36,0
1.22,0
6.0,1
1.19,0
1.17,0
3.17,1
2.85,0
1.66,0
2.03,0
3.91,1
4.78,1
2.15,0
1.23,0
1.39,0
2.1,0
6.0,1
2.43,0
2.0,0
1.12,0
1.95,0
1.0,0
6.0,1
1.0,0
1.25,0
1.58,0
1.75,0
1.81,0
6.0,1
3.14,1
5.62,1
1.37,0
6.0,1
1.0,0
1.51,0
1.43,0
2.12,0
1.33,0
1.6,0
1.06,0
1.05,0
1.01,0
1.08,0
1.67,0
1.96,0
5.43,1
1.21,0
1.11,0
6.0,1
2.13,0
1.04,0
2.98,0
2.78,0
1.87,0
1.66,0
1.09,0
1.83,0
1.7,0
6.0,1
1.35,0
1.47,0
1.01,0
1.09,0
1.21,0
1.87,0
1.51,0
1.59,0
2.17,0
4.36,1
3.61,1
1.3,0
1.06,0
1.17,0
1.11,0
4.19,1
1.78,0
1.71,0
1.12,0
2.36,0
1.71,0
6.0,1
1.2,0
4.29,1
1.23,0
1.67,0
1.02,0
2.33,0
1.0,0
6.0,1
3.95,1
1.77,0
1.33,0
6.0,1
2.49,0
2.24,0
6.0,1
3.22,1
1.49,0
3.59,1
6.0,1
1.0,0
6.0,1
4.91,1
1.92,0
1.36,0
4.52,1
5.5,1
2.31,0
6.0,1
2.51,0
1.48,0
1.17,0
6.0,1
1.28,0
1.96,0
4.64,1
6.0,1
3.28,1
1.52,0
1.39,0
1.02,0
2.18,0
1.0,0
2.37,0
5.1,1
1.58,0
1.19,0
1.22,0
2.43,0
1.77,0
1.14,0
5.89,1
3.33,1
1.58,0
2.18,0
6.0,1
1.16,0
1.29,0
1.74,0
3.98,1
2.27,0
6.0,1
3.46,1
1.2,0
1.2,0
6.0,1
1.76,0
1.78,0
6.0,1
1.23,0
2.14,0
1.21,0
1.76,0
6.0,1
3.89,1
5.61,1
6.0,1
1.21,0
6.0,1
4.41,1
1.47,0
2.73,0
1.52,0
1.87,0
4.96,1
3.79,1
2.0,0
1.2,0
1.17,0
5.1,1
6.0,1
1.26,0
1.25,0
6.0,1
6.0,1
3.99,1
4.69,1
3.67,1
1.16,0
1.05,0
1.75,0
1.4,0
3.5,1
4.04,1
6.0,1
6.0,1
1.56,0
2.3,0
1.8,0
6.0,1
1.74,0
1.6,0
6.0,1
1.72,0
1.55,0
1.48,0
6.0,1
1.9,0
5.3,1
1.57,0
1.39,0
4.32,1
6.0,1
1.21,0
2.05,0
1.78,0
1.27,0
1.61,0
1.49,0
1.31,0
1.45,0
1.61,0
1.61,0
1.5,0
1.11,0
6.0,1
1.0,0
1.48,0
2.66,0
2.38,0
1.03,0
6.0,1
1.59,0
1.19,0
1.24,0
1.22,0
1.81,0
6.0,1
2.76,0
1.05,0
1.06,0
1.84,0
1.04,0
5.33,1
1.07,0
1.9,0
6.0,1
1.1,0
1.33,0
1.43,0
5.84,1
3.38,1
2.46,0
1.55,0
1.44,0
1.39,0
6.0,1
6.0,1
6.0,1
3.23,1
1.25,0
2.89,0
1.42,0
1.84,0
1.24,0
1.65,0
1.13,0
1.0,0
1.23,0
6.0,1
6.0,1
6.0,1
2.88,0
1.1,0
3.59,1
2.22,0
6.0,1
2.59,0
2.89,0
6.0,1
1.25,0
1.8,0
4.42,1
5.82,1
2.29,0
6.0,1
5.1,1
1.54,0
2.3,0
1.89,0
1.0,0
1.0,0
6.0,1
1.76,0
1.47,0
1.09,0
1.09,0
5.37,1
1.27,0
2.22,0
4.89,1
2.88,0
1.0,0
1.23,0
6.0,1
1.2,0
6.0,1
1.7,0
2.78,0
1.03,0
1.59,0
1.2,0
2.07,0
1.2,0
1.4,0
5.07,1
1.91,0
1.01,0
1.95,0
4.01,1
1.47,0
1.42,0
1.01,0
3.1,1
1.79,0
6.0,1
4.13,1
1.45,0
1.87,0
2.35,0
1.0,0
2.88,0
1.25,0
6.0,1
2.2,0
1.03,0
6.0,1
3.01,1
2.68,0
6.0,1
1.14,0
1.38,0
1.68,0
1.19,0
1.0,0
4.05,1
1.89,0
1.87,0
1.21,0
1.24,0
1.06,0
6.0,1
1.0,0
3.23,1
1.72,0
3.59,1
6.0,1
2.25,0
1.6,0
1.23,0
1.02,0
6.0,1
1.03,0
1.78,0
4.25,1
4.68,1
3.34,1
3.52,1
3.4,1
1.0,0
1.01,0
1.56,0
6.0,1
1.0,0
2.16,0
1.16,0
6.0,1
6.0,1
1.7,0
6.0,1
1.98,0
1.0,0
3.35,1
4.22,1
1.22,0
1.58,0
1.19,0
3.26,1
1.05,0
2.65,0
2.22,0
2.91,0
1.26,0
6.0,1
1.11,0
1.58,0
3.64,1
2.01,0
1.13,0
6.0,1
1.34,0
1.14,0
1.0,0
2.92,0
1.11,0
2.18,0
1.57,0
2.52,0
1.0,0
2.97,0
6.0,1
1.03,0
6.0,1
1.0,0
1.13,0
1.0,0
2.83,0
6.0,1
6.0,1
1.04,0
1.28,0
2.82,0
3.65,1
1.64,0
1.43,0
1.12,0
4.75,1
1.76,0
1.63,0
1.06,0
2.86,0
1.49,0
6.0,1
3.9,1
1.72,0
4.07,1
3.8,1
2.02,0
5.4,1
6.0,1
1.0,0
1.27,0
4.03,1
1.08,0
2.77,0
6.0,1
1.78,0
6.0,1
1.5,0
6.0,1
2.37,0
2.88,0
2.72,0
2.55,0
2.81,0
5.58,1
5.86,1
1.32,0
3.75,1
6.0,1
2.14,0
4.13,1
1.23,0
5.64,1
2.55,0
1.26,0
1.12,0
3.27,1
6.0,1
1.82,0
6.0,1
