Entrada,Resultado
1.03,0
4.0,1
4.0,1
4.0,1
4.0,1
1.11,0
1.43,0
1.17,0
1.81,0
2.72,1
4.0,1
1.12,0
1.57,0
1.3,0
1.02,0
3.58,1
2.21,1
1.16,0
1.82,0
1.47,0
1.04,0
1.25,0
1.46,0
3.13,1
2.76,1
1.74,0
1.35,0
1.99,0
1.0,0
1.28,0
1.6,0
2.54,1
4.0,1
1.0,0
4.0,1
2.29,1
4.0,1
1.84,0
1.07,0
2.16,1
2.45,1
2.97,1
1.65,0
1.21,0
2.26,1
4.0,1
4.0,1
1.04,0
4.0,1
1.62,0
4.0,1
1.91,0
1.28,0
1.26,0
3.87,1
2.73,1
1.0,0
2.72,1
4.0,1
1.99,0
2.88,1
1.16,0
1.11,0
4.0,1
1.31,0
3.58,1
1.55,0
1.07,0
1.57,0
1.23,0
1.73,0
2.25,1
3.61,1
2.47,1
4.0,1
1.29,0
1.86,0
1.23,0
4.0,1
2.37,1
3.22,1
3.35,1
1.31,0
4.0,1
1.35,0
2.11,1
1.28,0
4.0,1
1.19,0
1.23,0
1.19,0
1.48,0
2.14,1
3.09,1
4.0,1
4.0,1
2.19,1
2.87,1
1.84,0
1.34,0
1.97,0
4.0,1
4.0,1
1.29,0
4.0,1
1.83,0
4.0,1
1.65,0
4.0,1
2.53,1
1.35,0
2.66,1
1.29,0
3.4,1
1.44,0
4.0,1
1.43,0
4.0,1
4.0,1
1.3,0
3.16,1
4.0,1
4.0,1
1.99,0
1.02,0
1.76,0
2.37,1
2.83,1
4.0,1
4.0,1
4.0,1
1.1,0
4.0,1
1.19,0
2.99,1
1.4,0
1.08,0
1.77,0
1.1,0
1.11,0
2.78,1
2.72,1
1.14,0
4.0,1
2.61,1
2.1,1
1.09,0
1.17,0
4.0,1
2.17,1
1.08,0
4.0,1
4.0,1
1.15,0
4.0,1
2.72,1
4.0,1
2.24,1
1.01,0
4.0,1
2.78,1
4.0,1
3.28,1
4.0,1
4.0,1
4.0,1
1.37,0
1.0,0
2.67,1
1.23,0
1.8,0
4.0,1
2.15,1
1.1,0
3.43,1
1.22,0
4.0,1
1.29,0
1.06,0
4.0,1
2.65,1
3.21,1
2.49,1
1.22,0
1.79,0
1.81,0
4.0,1
4.0,1
1.11,0
4.0,1
1.0,0
1.12,0
3.92,1
1.02,0
1.0,0
4.0,1
4.0,1
2.03,1
1.06,0
2.09,1
1.55,0
1.7,0
4.0,1
2.11,1
2.05,1
4.0,1
4.0,1
1.03,0
1.64,0
4.0,1
1.23,0
3.69,1
1.46,0
1.59,0
4.0,1
2.72,1
1.07,0
1.43,0
2.42,1
3.47,1
2.45,1
4.0,1
1.06,0
1.64,0
4.0,1
1.44,0
4.0,1
1.0,0
1.17,0
4.0,1
1.4,0
1.47,0
3.53,1
1.56,0
2.23,1
2.74,1
2.95,1
1.36,0
3.03,1
2.73,1
1.06,0
1.83,0
2.45,1
1.0,0
1.34,0
4.0,1
4.0,1
1.1,0
1.18,0
1.53,0
2.28,1
1.37,0
4.0,1
3.08,1
3.96,1
2.02,1
1.31,0
1.32,0
1.25,0
4.0,1
1.36,0
1.6,0
4.0,1
1.22,0
1.64,0
2.38,1
2.79,1
2.39,1
2.91,1
3.52,1
4.0,1
1.21,0
3.42,1
1.07,0
3.27,1
3.38,1
1.08,0
1.92,0
1.45,0
1.02,0
1.11,0
2.77,1
1.02,0
4.0,1
1.96,0
2.1,1
2.05,1
4.0,1
4.0,1
1.84,0
4.0,1
4.0,1
2.79,1
1.22,0
3.73,1
1.21,0
2.4,1
1.66,0
1.91,0
4.0,1
4.0,1
1.73,0
1.76,0
1.15,0
4.0,1
4.0,1
1.19,0
1.19,0
1.1,0
2.72,1
2.13,1
4.0,1
1.83,0
1.41,0
1.34,0
4.0,1
1.69,0
2.09,1
3.03,1
4.0,1
1.07,0
1.14,0
3.35,1
1.17,0
4.0,1
3.5,1
1.28,0
1.47,0
1.48,0
1.34,0
4.0,1
1.14,0
1.05,0
4.0,1
4.0,1
4.0,1
4.0,1
3.94,1
2.4,1
2.53,1
1.39,0
1.11,0
2.04,1
1.19,0
2.31,1
3.44,1
1.67,0
1.77,0
2.15,1
1.17,0
1.4,0
2.86,1
3.96,1
4.0,1
1.01,0
1.66,0
2.53,1
1.07,0
1.0,0
1.3,0
4.0,1
1.32,0
1.93,0
1.9,0
4.0,1
1.09,0
1.94,0
4.0,1
1.83,0
1.01,0
2.07,1
2.86,1
1.22,0
4.0,1
1.01,0
1.68,0
1.93,0
4.0,1
2.32,1
3.73,1
1.46,0
1.01,0
1.02,0
1.14,0
4.0,1
1.04,0
1.07,0
4.0,1
4.0,1
1.53,0
2.33,1
1.22,0
1.23,0
1.83,0
1.0,0
1.12,0
1.5,0
