n,Entrada,Odd,P60,P120,P180,P240,P300,P360,P420,P480,P540,P600,P660,P720,P780,P840,P900,P960,P1020,P1080,P1140,P1200,P1260,P1320,P1380,P1440,P1500,P1560,P1620,P1680,P1740,P1800,P1860,P1920,P1980,P1200,
0,"1,05",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1,06",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"1,42",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"1,78",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"1,01",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"1,81",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"1,41",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"19,99",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"5,29",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"1,71",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"3,58",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"2,79",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"1,88",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"2,58",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"1,73",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"1,08",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"19,7",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"1,25",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"1,68",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"1,42",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"3,01",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"1,41",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"1,08",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"1,37",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"1,19",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"1,08",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"1,27",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
