t,Entrada,Converte_4,Media_Atual_4,Converte_6,Media_Atual_6,Converte_7,Media_Atual_7,Converte_8,Media_Atual_8,Converte_9,Media_Atual_9,Converte_A,Media_Atual_A,Converte_B,Media_Atual_B,Converte_C,Media_Atual_C,Media_2,Media,,PEARSON,DIFF_PEARSON
0,"1,13",0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
1,"2,19",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2,"1,27",1,,1,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,1,,,,
3,"4,5",0,,0,"0,3333333333",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
4,"1,21",1,,1,"0,5",1,"0,25",1,"0,25",0,0,0,0,0,0,0,0,1,,,,
5,"1,26",0,,0,"0,4",0,"0,2",0,"0,2",0,0,0,0,0,0,0,0,0,,,,
6,"8,94",0,,0,"0,3333333333",0,"0,1666666667",0,"0,1666666667",0,0,0,0,0,0,0,0,0,,,,
7,"1,77",1,,1,"0,4285714286",1,"0,2857142857",1,"0,2857142857",1,"0,1428571429",0,0,0,0,0,0,1,,,,
8,"1,77",1,,0,"0,375",0,"0,25",0,"0,25",0,"0,125",0,0,0,0,0,0,0,,,,
9,"2,01",1,,0,"0,3333333333",0,"0,2222222222",0,"0,2222222222",0,"0,1111111111",0,0,0,0,0,0,0,,,,
10,"2,01",1,,0,"0,3",0,"0,2",0,"0,2",0,"0,1",0,0,0,0,0,0,1,,,,
11,"3,69",1,,0,"0,2727272727",0,"0,1818181818",0,"0,1818181818",0,"0,09090909091",0,0,0,0,0,0,1,,,,
12,"6,49",1,,1,"0,3333333333",1,"0,25",0,"0,1666666667",0,"0,08333333333",0,0,0,0,0,0,1,,,,
13,"1,17",1,,1,"0,3846153846",1,"0,3076923077",1,"0,2307692308",1,"0,1538461538",0,0,0,0,0,0,1,,,,
14,"2,39",0,,0,"0,3571428571",0,"0,2857142857",0,"0,2142857143",0,"0,1428571429",0,0,0,0,0,0,0,,,,
15,"3,62",1,,1,"0,4",0,"0,2666666667",0,"0,2",0,"0,1333333333",0,0,0,0,0,0,1,,,,
16,"1,98",1,,1,"0,4375",1,"0,3125",0,"0,1875",0,"0,125",0,0,0,0,0,0,1,,,,
17,"2,68",1,,0,"0,4117647059",0,"0,2941176471",0,"0,1764705882",0,"0,1176470588",0,0,0,0,0,0,0,,,,
18,"4,34",1,,1,"0,4444444444",0,"0,2777777778",0,"0,1666666667",0,"0,1111111111",0,0,0,0,0,0,1,,,,
19,"2,27",1,,1,"0,4736842105",1,"0,3157894737",1,"0,2105263158",0,"0,1052631579",0,0,0,0,0,0,1,,,,
20,"1,69",1,,1,"0,5",0,"0,3",0,"0,2",0,"0,1",0,0,0,0,0,0,1,,,,
21,"1,4",1,,0,"0,4761904762",0,"0,2857142857",0,"0,1904761905",0,"0,09523809524",0,0,0,0,0,0,0,,,,
22,"1,43",0,,0,"0,4545454545",0,"0,2727272727",0,"0,1818181818",0,"0,09090909091",0,0,0,0,0,0,0,,,,
23,"1,03",0,,0,"0,4347826087",0,"0,2608695652",0,"0,1739130435",0,"0,08695652174",0,0,0,0,0,0,0,,,,
24,"7,1",0,,0,"0,4166666667",0,"0,25",0,"0,1666666667",0,"0,08333333333",0,0,0,0,0,0,0,,,,
25,"1,7",1,,1,"0,44",1,"0,28",1,"0,2",1,"0,12",0,0,0,0,0,0,1,,,,
26,"74,38",1,,0,"0,4230769231",0,"0,2692307692",0,"0,1923076923",0,"0,1153846154",0,0,0,0,0,0,0,,,,
27,"2,71",1,,1,"0,4444444444",1,"0,2962962963",1,"0,2222222222",1,"0,1481481481",1,"0,03703703704",1,"0,03703703704",1,"0,03703703704",1,,,,
28,"5,37",1,,1,"0,4642857143",1,"0,3214285714",0,"0,2142857143",0,"0,1428571429",0,"0,03571428571",0,"0,03571428571",0,"0,03571428571",1,,,,
29,"6,83",1,,1,"0,4827586207",1,"0,3448275862",1,"0,2413793103",0,"0,1379310345",0,"0,03448275862",0,"0,03448275862",0,"0,03448275862",1,,,,
30,"4,75",1,,1,"0,5",1,"0,3666666667",1,"0,2666666667",1,"0,1666666667",0,"0,03333333333",0,"0,03333333333",0,"0,03333333333",1,,,,
31,"2,34",1,,1,"0,5161290323",1,"0,3870967742",1,"0,2903225806",0,"0,1612903226",0,"0,03225806452",0,"0,03225806452",0,"0,03225806452",1,,,,
32,1,1,,1,"0,53125",0,"0,375",0,"0,28125",0,"0,15625",0,"0,03125",0,"0,03125",0,"0,03125",1,,,,
33,"2,73",0,,0,"0,5151515152",0,"0,3636363636",0,"0,2727272727",0,"0,1515151515",0,"0,0303030303",0,"0,0303030303",0,"0,0303030303",0,,,,
