,Odd_Categoria4
0,4
1,1
2,3
3,7
4,5
5,1
6,6
7,6
8,1
9,7
10,6
11,7
12,6
13,1
14,3
15,1
16,6
17,2
18,1
19,1
20,2
21,5
22,7
23,2
24,4
25,2
26,1
27,6
28,4
29,6
30,7
31,4
32,1
33,1
34,1
35,4
36,4
37,7
38,2
39,4
40,1
41,1
42,5
43,1
44,2
45,5
46,2
47,2
48,7
49,5
50,5
51,4
52,7
53,3
54,3
55,7
56,2
57,1
58,7
59,3
60,3
61,1
62,6
63,5
64,2
65,7
66,3
67,3
68,1
69,2
70,1
71,7
72,6
73,3
74,7
75,7
76,1
77,4
78,7
79,1
80,7
81,4
82,3
83,1
84,1
85,1
86,6
87,7
88,1
89,7
90,6
91,7
92,1
93,6
94,6
95,1
96,1
97,5
98,7
99,1
100,7
101,1
102,2
103,1
104,5
105,2
106,1
107,1
108,7
109,2
110,5
111,3
112,1
113,5
114,2
115,7
116,1
117,1
118,4
119,1
120,1
121,7
122,3
123,7
124,1
125,7
126,4
127,2
128,7
129,5
130,1
131,4
132,3
133,7
134,5
135,1
136,5
137,6
138,4
139,4
140,7
141,7
142,2
143,4
144,7
145,7
146,7
147,1
148,5
149,4
150,1
151,5
152,7
153,3
154,1
155,7
156,4
157,7
158,4
159,7
160,1
161,1
162,3
163,7
164,7
165,7
166,4
167,7
168,5
169,5
170,1
171,3
172,7
173,4
174,7
175,1
176,4
177,3
178,7
179,3
180,6
181,7
182,7
183,1
184,1
185,5
186,2
187,7
188,7
189,7
190,2
191,6
192,7
193,4
194,1
195,3
196,5
197,1
198,3
199,2
200,1
201,3
202,7
203,4
204,6
205,5
206,7
207,5
208,7
209,6
210,1
211,1
212,1
213,1
214,7
215,7
216,7
217,3
218,1
219,4
220,7
221,7
222,7
223,3
224,6
225,2
226,4
227,5
228,7
229,7
230,5
231,1
232,5
233,6
234,2
235,1
236,6
237,6
238,4
239,5
240,7
241,1
242,1
243,1
244,5
245,7
246,2
247,7
248,7
249,1
250,4
251,6
252,7
253,2
254,7
255,3
256,1
257,1
258,7
259,7
260,3
261,3
262,7
263,1
264,7
265,3
266,7
267,5
268,7
269,7
270,7
271,1
272,1
273,6
274,6
275,1
276,6
277,3
278,5
279,7
280,3
281,7
282,4
283,5
284,7
285,7
286,5
287,5
288,3
289,7
290,7
291,6
292,1
293,3
294,2
295,6
296,3
297,1
298,7
299,1
300,4
301,1
302,1
303,7
304,7
305,1
306,7
307,7
308,4
309,6
310,5
311,1
312,1
313,3
314,5
315,7
316,4
317,3
318,6
319,7
320,2
321,7
322,3
323,4
324,4
325,2
326,4
327,7
328,1
329,3
330,4
331,4
332,7
333,7
334,6
335,2
336,4
337,4
338,4
339,1
340,1
341,2
342,1
343,7
344,5
345,2
346,6
347,2
348,4
349,1
350,6
351,2
352,5
353,4
354,2
355,5
356,2
357,1
358,7
359,1
360,6
361,2
362,7
363,6
364,1
365,1
366,7
367,6
368,7
369,2
370,7
371,7
372,7
373,3
374,7
375,6
376,7
377,1
378,1
379,1
380,5
381,4
382,3
383,1
384,6
385,7
386,7
387,7
388,4
389,6
390,7
391,5
392,7
393,2
394,1
395,1
396,4
397,5
398,3
399,6
400,1
401,1
402,7
403,7
404,7
405,4
406,7
407,7
408,2
409,7
410,1
411,1
412,2
413,6
414,3
415,5
416,2
417,7
418,2
419,4
420,1
421,7
422,5
423,1
424,1
425,7
426,7
427,7
428,3
429,1
430,7
431,7
432,4
433,6
434,6
435,3
436,1
437,3
438,7
439,5
440,2
441,6
442,3
443,1
444,4
445,1
446,4
447,7
448,1
449,7
450,5
451,7
452,4
453,1
454,7
455,3
456,7
457,1
458,3
459,7
460,6
461,7
462,4
463,7
464,4
465,7
466,2
467,5
468,7
469,1
470,3
471,1
472,1
473,6
474,7
475,7
476,4
477,7
478,1
479,3
480,1
481,3
482,1
483,6
484,4
485,2
486,4
487,1
488,7
489,6
490,5
491,6
492,7
493,7
494,7
495,3
496,6
497,7
498,7
499,6
