"341,01",5,5,10,BET,Entrada,Odd,P60,Media Movel 60,Acertos 60,Media Geral,,,Odd,P120,Media Movel 120,,Odd,P180,Media Movel 180,,Odd,P240,Media Movel 240,,Odd,P300,Media Movel 300,,Odd,P360,Media Movel 360,,Odd,P420,,,Odd,P480,,,Odd,P540,,,Odd,P600,,
0,"341,01",-10,0,0,"1,9",0,,,,"0,0000",0,,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
1,"341,01",-10,0,0,"1,83",0,,,,"0,0000","0,0000",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
2,"341,01",15,2,0,"3,78",1,,,,"0,3333","0,3333",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
3,"341,01",-10,0,0,"1,26",0,,,,"0,2500","-0,0833",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
4,"341,01",-10,0,0,"1,63",0,,,,"0,2000","-0,0500",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
5,"341,01",-10,0,0,"1,84",0,,,,"0,1667","-0,0333",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
6,"341,01",-10,0,0,"1,63",0,,,,"0,1429","-0,0238",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
7,"341,01",-10,0,0,1,-10,,,,"-1,1250","-1,2679",,-10,,,,-10,,,,-10,,,0,-10,,,,-10,,,"0,0000",-10,,,,-10,,,0,-10,,,0,-10,,,0
8,"341,01",-10,0,0,"1,03",0,,,,"-1,0000","0,1250",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
9,"341,01",-10,0,0,"1,83",0,,,,"-0,9000","0,1000",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
10,"341,01",-10,0,0,1,-10,,,,"-1,7273","-0,8273",,-10,,,,-10,,,,-10,,,0,-10,,,,-10,,,"0,0000",-10,,,,-10,,,0,-10,,,0,-10,,,0
11,"341,01",-10,0,0,"1,25",0,,,,"-1,5833","0,1439",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
12,"341,01",-10,0,0,"1,21",0,,,,"-1,4615","0,1218",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
13,"341,01",15,2,0,"4,31",1,,,,"-1,2857","0,1758",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
14,"341,01",-10,0,0,"1,18",0,,,,"-1,2000","0,0857",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
15,"341,01",15,2,0,"292,09",10,,,,"-0,5000","0,7000",,10,,,,10,,,,10,,,0,10,,,,10,,,"0,0000",10,,,,10,,,0,10,,,0,10,,,0
16,"341,01",15,2,0,"9,61",1,,,,"-0,4118","0,0882",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
17,"341,01",0,1,0,"2,35",0,,,,"-0,3889","0,0229",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
18,"341,01",15,2,0,"4,2",1,,,,"-0,3158","0,0731",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
19,"341,01",15,2,0,"3,25",1,,,,"-0,2500","0,0658",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
20,"341,01",15,2,0,"22,86",5,,,,"0,0000","0,2500",,5,,,,5,,,,5,,,0,5,,,,5,,,"0,0000",5,,,,5,,,0,5,,,0,5,,,0
21,"341,01",15,2,0,"10,63",1,,,,"0,0455","0,0455",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
22,"341,01",-10,0,0,1,-10,,,,"-0,3913","-0,4368",,-10,,,,-10,,,,-10,,,0,-10,,,,-10,,,"0,0000",-10,,,,-10,,,0,-10,,,0,-10,,,0
23,"341,01",0,1,0,"2,19",0,,,,"-0,3750","0,0163",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
