rodada,modelo,accuracy,precision,recall,f1_score,precision 0,precision 1,recall 0,recall 1,f1_score 0,f1_score 1
2,Regressão Logística,0.6185567010309279,0.6006013745704467,0.6185567010309279,0.6080788602482587,0.36,0.7083333333333334,0.3,0.7611940298507462,0.32727272727272727,0.7338129496402878
3,Regressão Logística,0.48760330578512395,0.5127151065255514,0.4876033057851239,0.4982973333924708,0.2553191489361702,0.6351351351351351,0.3076923076923077,0.573170731707317,0.27906976744186046,0.6025641025641025
4,Regressão Logística,0.45517241379310347,0.5267414325244785,0.45517241379310347,0.48097634580393206,0.203125,0.654320987654321,0.3170731707317073,0.5096153846153846,0.24761904761904763,0.572972972972973
5,Regressão Logística,0.5502958579881657,0.5546626620486389,0.5502958579881657,0.5524116908732293,0.30357142857142855,0.672566371681416,0.3148148148148148,0.6608695652173913,0.3090909090909091,0.6666666666666666
6,Regressão Logística,0.5284974093264249,0.5562973526199241,0.5284974093264249,0.5403301290030882,0.2676056338028169,0.680327868852459,0.3275862068965517,0.6148148148148148,0.29457364341085274,0.6459143968871596
7,Regressão Logística,0.5898617511520737,0.5702435674672587,0.5898617511520736,0.5765988974032052,0.4098360655737705,0.6602564102564102,0.32051282051282054,0.7410071942446043,0.3597122302158273,0.6983050847457627
8,Regressão Logística,0.5228215767634855,0.5532716662192377,0.5228215767634855,0.5351621647550078,0.2872340425531915,0.673469387755102,0.36,0.5963855421686747,0.31952662721893493,0.6325878594249201
9,Regressão Logística,0.6264150943396226,0.6250889209046948,0.6264150943396226,0.6257437827391548,0.379746835443038,0.7311827956989247,0.375,0.7351351351351352,0.37735849056603776,0.7331536388140162
10,Regressão Logística,0.5674740484429066,0.602162090224374,0.5674740484429066,0.5817041849689304,0.28846153846153844,0.7243243243243244,0.37037037037037035,0.6442307692307693,0.32432432432432434,0.6819338422391857
11,Regressão Logística,0.5591054313099042,0.5824348689941957,0.5591054313099042,0.5691536975464292,0.2972972972972973,0.7029702970297029,0.3548387096774194,0.6454545454545455,0.3235294117647059,0.6729857819905213
12,Regressão Logística,0.5934718100890207,0.6351026841081943,0.5934718100890207,0.6076503434090536,0.3695652173913043,0.7487437185929648,0.504950495049505,0.6313559322033898,0.42677824267782427,0.6850574712643678
13,Regressão Logística,0.5152354570637119,0.5461813589701809,0.5152354570637119,0.5282272214797172,0.25735294117647056,0.6711111111111111,0.3211009174311927,0.5992063492063492,0.2857142857142857,0.6331236897274634
14,Regressão Logística,0.5532467532467532,0.5893996470061379,0.5532467532467532,0.5669471861471862,0.3202614379084967,0.7068965517241379,0.4188034188034188,0.6119402985074627,0.362962962962963,0.656
15,Regressão Logística,0.5525672371638142,0.5534839900900721,0.5525672371638142,0.5530227428414645,0.29770992366412213,0.6726618705035972,0.3,0.6702508960573477,0.2988505747126437,0.6714542190305206
16,Regressão Logística,0.5958429561200924,0.6383984985340164,0.5958429561200924,0.6112773712427136,0.34523809523809523,0.7547169811320755,0.4715447154471545,0.6451612903225806,0.39862542955326463,0.6956521739130435
17,Regressão Logística,0.5711159737417943,0.6008174938174097,0.5711159737417943,0.583147114297204,0.31952662721893493,0.71875,0.4,0.6428571428571429,0.35526315789473684,0.6786885245901639
18,Regressão Logística,0.5904365904365905,0.6105980539942804,0.5904365904365905,0.5993411835609381,0.3081761006289308,0.7298136645962733,0.3602941176470588,0.6811594202898551,0.33220338983050846,0.704647676161919
19,Regressão Logística,0.6079207920792079,0.6454605435988658,0.6079207920792079,0.6225808228112591,0.3314917127071823,0.7623456790123457,0.43795620437956206,0.6711956521739131,0.37735849056603776,0.7138728323699421
20,Regressão Logística,0.5482041587901701,0.5549890594123965,0.5482041587901701,0.5514610508392706,0.27906976744186046,0.6778711484593838,0.294478527607362,0.6612021857923497,0.2865671641791045,0.669432918395574
21,Regressão Logística,0.5280289330922242,0.5709511665207868,0.5280289330922242,0.5445448268997074,0.2772727272727273,0.6936936936936937,0.37423312883435583,0.5923076923076923,0.3185378590078329,0.6390041493775933
