Epoch 1: Loss=0.6897, Accuracy=0.5104, Precision=0.5104, Recall=0.5104
Epoch 2: Loss=0.6934, Accuracy=0.5417, Precision=0.5417, Recall=0.5417
Epoch 3: Loss=0.6906, Accuracy=0.5156, Precision=0.5156, Recall=0.5156
Epoch 4: Loss=0.6853, Accuracy=0.5156, Precision=0.5156, Recall=0.5156
Epoch 5: Loss=0.6856, Accuracy=0.5260, Precision=0.5260, Recall=0.5260
Epoch 6: Loss=0.6872, Accuracy=0.5312, Precision=0.5312, Recall=0.5312
Epoch 7: Loss=0.6803, Accuracy=0.5365, Precision=0.5365, Recall=0.5365
Epoch 8: Loss=0.6846, Accuracy=0.5365, Precision=0.5365, Recall=0.5365
Epoch 9: Loss=0.6781, Accuracy=0.5521, Precision=0.5521, Recall=0.5521
Epoch 10: Loss=0.6742, Accuracy=0.5781, Precision=0.5781, Recall=0.5781
Epoch 11: Loss=0.6777, Accuracy=0.5469, Precision=0.5469, Recall=0.5469
Epoch 12: Loss=0.6799, Accuracy=0.5469, Precision=0.5469, Recall=0.5469
Epoch 13: Loss=0.6744, Accuracy=0.6042, Precision=0.6042, Recall=0.6042
Epoch 14: Loss=0.6729, Accuracy=0.6094, Precision=0.6094, Recall=0.6094
Epoch 15: Loss=0.6721, Accuracy=0.5781, Precision=0.5781, Recall=0.5781
Epoch 16: Loss=0.6722, Accuracy=0.5625, Precision=0.5625, Recall=0.5625
Epoch 17: Loss=0.6704, Accuracy=0.5365, Precision=0.5365, Recall=0.5365
Epoch 18: Loss=0.6722, Accuracy=0.5781, Precision=0.5781, Recall=0.5781
Epoch 19: Loss=0.6730, Accuracy=0.5260, Precision=0.5260, Recall=0.5260
Epoch 20: Loss=0.6723, Accuracy=0.5833, Precision=0.5833, Recall=0.5833
Epoch 21: Loss=0.6648, Accuracy=0.5938, Precision=0.5938, Recall=0.5938
Epoch 22: Loss=0.6625, Accuracy=0.5521, Precision=0.5521, Recall=0.5521
Epoch 23: Loss=0.6597, Accuracy=0.5521, Precision=0.5521, Recall=0.5521
Epoch 24: Loss=0.6599, Accuracy=0.5781, Precision=0.5781, Recall=0.5781
Epoch 25: Loss=0.6564, Accuracy=0.6458, Precision=0.6458, Recall=0.6458
Epoch 26: Loss=0.6525, Accuracy=0.6094, Precision=0.6094, Recall=0.6094
Epoch 27: Loss=0.6610, Accuracy=0.5885, Precision=0.5885, Recall=0.5885
Epoch 28: Loss=0.6565, Accuracy=0.5938, Precision=0.5938, Recall=0.5938
Epoch 29: Loss=0.6601, Accuracy=0.5990, Precision=0.5990, Recall=0.5990
Epoch 30: Loss=0.6594, Accuracy=0.5260, Precision=0.5260, Recall=0.5260
Epoch 31: Loss=0.6445, Accuracy=0.5677, Precision=0.5677, Recall=0.5677
Epoch 32: Loss=0.6545, Accuracy=0.5990, Precision=0.5990, Recall=0.5990
Epoch 33: Loss=0.6590, Accuracy=0.5729, Precision=0.5729, Recall=0.5729
Epoch 34: Loss=0.6481, Accuracy=0.5781, Precision=0.5781, Recall=0.5781
Epoch 35: Loss=0.6536, Accuracy=0.6094, Precision=0.6094, Recall=0.6094
Epoch 36: Loss=0.6481, Accuracy=0.5677, Precision=0.5677, Recall=0.5677
Epoch 37: Loss=0.6444, Accuracy=0.5729, Precision=0.5729, Recall=0.5729
Epoch 38: Loss=0.6444, Accuracy=0.5833, Precision=0.5833, Recall=0.5833
Epoch 39: Loss=0.6517, Accuracy=0.5625, Precision=0.5625, Recall=0.5625
Epoch 40: Loss=0.6395, Accuracy=0.5781, Precision=0.5781, Recall=0.5781
Epoch 41: Loss=0.6414, Accuracy=0.5781, Precision=0.5781, Recall=0.5781
Epoch 42: Loss=0.6417, Accuracy=0.5781, Precision=0.5781, Recall=0.5781
Epoch 43: Loss=0.6410, Accuracy=0.5990, Precision=0.5990, Recall=0.5990
Epoch 44: Loss=0.6425, Accuracy=0.5833, Precision=0.5833, Recall=0.5833
Epoch 45: Loss=0.6378, Accuracy=0.6302, Precision=0.6302, Recall=0.6302
Epoch 46: Loss=0.6434, Accuracy=0.5990, Precision=0.5990, Recall=0.5990
Epoch 47: Loss=0.6471, Accuracy=0.5677, Precision=0.5677, Recall=0.5677
Epoch 48: Loss=0.6363, Accuracy=0.6042, Precision=0.6042, Recall=0.6042
Epoch 49: Loss=0.6206, Accuracy=0.6198, Precision=0.6198, Recall=0.6198
Epoch 50: Loss=0.6528, Accuracy=0.5521, Precision=0.5521, Recall=0.5521
