Epoch 1: Loss=0.7044, Accuracy=0.4552, Precision=0.4552, Recall=0.4552
Epoch 2: Loss=0.6940, Accuracy=0.5410, Precision=0.5410, Recall=0.5410
Epoch 3: Loss=0.6969, Accuracy=0.5261, Precision=0.5261, Recall=0.5261
Epoch 4: Loss=0.6856, Accuracy=0.5410, Precision=0.5410, Recall=0.5410
Epoch 5: Loss=0.6900, Accuracy=0.5336, Precision=0.5336, Recall=0.5336
Epoch 6: Loss=0.6953, Accuracy=0.5112, Precision=0.5112, Recall=0.5112
Epoch 7: Loss=0.6897, Accuracy=0.5261, Precision=0.5261, Recall=0.5261
Epoch 8: Loss=0.6804, Accuracy=0.5821, Precision=0.5821, Recall=0.5821
Epoch 9: Loss=0.6821, Accuracy=0.5522, Precision=0.5522, Recall=0.5522
Epoch 10: Loss=0.6873, Accuracy=0.5634, Precision=0.5634, Recall=0.5634
Epoch 11: Loss=0.6820, Accuracy=0.5560, Precision=0.5560, Recall=0.5560
Epoch 12: Loss=0.6907, Accuracy=0.5261, Precision=0.5261, Recall=0.5261
Epoch 13: Loss=0.6823, Accuracy=0.5485, Precision=0.5485, Recall=0.5485
Epoch 14: Loss=0.6860, Accuracy=0.5634, Precision=0.5634, Recall=0.5634
Epoch 15: Loss=0.6848, Accuracy=0.5485, Precision=0.5485, Recall=0.5485
Epoch 16: Loss=0.6643, Accuracy=0.6082, Precision=0.6082, Recall=0.6082
Epoch 17: Loss=0.6809, Accuracy=0.5709, Precision=0.5709, Recall=0.5709
Epoch 18: Loss=0.6775, Accuracy=0.5672, Precision=0.5672, Recall=0.5672
Epoch 19: Loss=0.6750, Accuracy=0.5784, Precision=0.5784, Recall=0.5784
Epoch 20: Loss=0.6710, Accuracy=0.5933, Precision=0.5933, Recall=0.5933
Epoch 21: Loss=0.6674, Accuracy=0.6082, Precision=0.6082, Recall=0.6082
Epoch 22: Loss=0.6739, Accuracy=0.5672, Precision=0.5672, Recall=0.5672
Epoch 23: Loss=0.6633, Accuracy=0.6269, Precision=0.6269, Recall=0.6269
Epoch 24: Loss=0.6616, Accuracy=0.5896, Precision=0.5896, Recall=0.5896
Epoch 25: Loss=0.6626, Accuracy=0.6082, Precision=0.6082, Recall=0.6082
Epoch 26: Loss=0.6548, Accuracy=0.6455, Precision=0.6455, Recall=0.6455
Epoch 27: Loss=0.6531, Accuracy=0.5896, Precision=0.5896, Recall=0.5896
Epoch 28: Loss=0.6723, Accuracy=0.5672, Precision=0.5672, Recall=0.5672
Epoch 29: Loss=0.6631, Accuracy=0.5746, Precision=0.5746, Recall=0.5746
Epoch 30: Loss=0.6532, Accuracy=0.5784, Precision=0.5784, Recall=0.5784
Epoch 31: Loss=0.6516, Accuracy=0.6455, Precision=0.6455, Recall=0.6455
Epoch 32: Loss=0.6428, Accuracy=0.5970, Precision=0.5970, Recall=0.5970
Epoch 33: Loss=0.6491, Accuracy=0.6269, Precision=0.6269, Recall=0.6269
Epoch 34: Loss=0.6435, Accuracy=0.6306, Precision=0.6306, Recall=0.6306
Epoch 35: Loss=0.6437, Accuracy=0.6194, Precision=0.6194, Recall=0.6194
Epoch 36: Loss=0.6290, Accuracy=0.6493, Precision=0.6493, Recall=0.6493
Epoch 37: Loss=0.6285, Accuracy=0.6754, Precision=0.6754, Recall=0.6754
Epoch 38: Loss=0.6249, Accuracy=0.6903, Precision=0.6903, Recall=0.6903
Epoch 39: Loss=0.6297, Accuracy=0.6493, Precision=0.6493, Recall=0.6493
Epoch 40: Loss=0.6222, Accuracy=0.6642, Precision=0.6642, Recall=0.6642
Epoch 41: Loss=0.6237, Accuracy=0.6716, Precision=0.6716, Recall=0.6716
Epoch 42: Loss=0.6338, Accuracy=0.6679, Precision=0.6679, Recall=0.6679
Epoch 43: Loss=0.6258, Accuracy=0.6269, Precision=0.6269, Recall=0.6269
Epoch 44: Loss=0.6046, Accuracy=0.6679, Precision=0.6679, Recall=0.6679
Epoch 45: Loss=0.6114, Accuracy=0.6828, Precision=0.6828, Recall=0.6828
Epoch 46: Loss=0.6213, Accuracy=0.6381, Precision=0.6381, Recall=0.6381
Epoch 47: Loss=0.5874, Accuracy=0.7164, Precision=0.7164, Recall=0.7164
Epoch 48: Loss=0.6191, Accuracy=0.6903, Precision=0.6903, Recall=0.6903
Epoch 49: Loss=0.6169, Accuracy=0.6642, Precision=0.6642, Recall=0.6642
Epoch 50: Loss=0.5864, Accuracy=0.6754, Precision=0.6754, Recall=0.6754
